Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
PAAS,68728190.96,14000000.00,09:32:51,2026-01-30
DECK,58783529.40,14000000.00,09:32:51,2026-01-30
AG,34853958.79,14000000.00,09:32:51,2026-01-30
HYMC,19032910.20,14000000.00,09:32:51,2026-01-30
GILD,18466903.32,14000000.00,09:32:51,2026-01-30
IONQ,15676297.00,14000000.00,09:32:51,2026-01-30
KTOS,14606863.70,14000000.00,09:32:51,2026-01-30
AGI,14332403.93,14000000.00,09:32:51,2026-01-30
LYB,14205593.60,14000000.00,09:32:51,2026-01-30
