Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
CNR,Canadian National Railway Company,135.2300,N/A for download,30.09,272774867.14
ROKU,Roku Inc.,92.1300,N/A for download,30.13,346849457.79
BN,Brookfield Corporation,62.6700,N/A for download,30.18,215664202.89
XYL,Xylem Inc.,139.7400,N/A for download,30.26,291949419.42
WYNN,Wynn Resorts Limited,114.2100,N/A for download,30.28,241718840.82
CALM,Cal-Maine Foods Inc.,86.6700,N/A for download,30.30,115105126.95
HP,Helmerich & Payne Inc.,36.4100,N/A for download,30.37,112033861.28
CRBG,Corebridge Financial Inc.,31.2100,N/A for download,30.45,167216875.58
GMED,Globus Medical Inc.,87.0600,N/A for download,30.67,149771581.56
EOG,EOG Resources Inc.,114.6700,N/A for download,30.84,553251101.08
IMO,Imperial Oil Limited,150.9200,N/A for download,30.85,288174495.84
RGEN,Repligen Corporation,146.1100,N/A for download,30.94,120884546.83
SGI,Somnigroup International Inc.,94.7800,N/A for download,31.02,217413946.40
PDD,PDD Holdings Inc.,102.1300,N/A for download,31.02,742119883.12
FRPT,Freshpet Inc.,69.2000,N/A for download,31.06,109496682.40
CG,The Carlyle Group Inc.,58.3900,N/A for download,31.09,242709829.78
LNC,Lincoln National Corporation,40.6500,N/A for download,31.14,104343915.90
DG,Dollar General Corporation,149.2500,N/A for download,31.21,416808534.75
AGCO,AGCO Corporation,121.6800,N/A for download,31.27,162088954.56
CNQ,Canadian Natural Resources Limited,52.6500,N/A for download,31.30,422932132.35
PTC,PTC Inc.,151.3400,N/A for download,31.37,341232502.94
IBKR,Interactive Brokers Group Inc.,73.4400,N/A for download,31.47,596819119.68
BBIO,BridgeBio Pharma Inc.,75.1900,N/A for download,31.52,215624618.70
GIS,General Mills Inc.,48.5000,N/A for download,31.56,588980071.50
EL,The Estée Lauder Companies Inc.,119.6100,N/A for download,31.62,618574358.34
GDDY,GoDaddy Inc.,95.7100,N/A for download,31.71,283030357.86
CFG,Citizens Financial Group Inc.,66.6000,N/A for download,31.78,452079201.60
CROX,Crocs Inc.,86.7500,N/A for download,31.82,115233668.50
LKQ,LKQ Corporation,34.3700,N/A for download,31.89,123075154.93
MO,Altria Group Inc.,65.1600,N/A for download,31.92,849289054.32
MTN,Vail Resorts Inc.,135.7900,N/A for download,31.97,121359596.70
ATD,Alimentation Couche-Tard Inc.,79.3400,N/A for download,32.20,238581251.16
USFD,US Foods Holding Corp.,87.8200,N/A for download,32.24,595123031.86
AOS,A. O. Smith Corporation,78.3700,N/A for download,32.42,268196873.56
PNFP,Pinnacle Financial Partners Inc.,101.9600,N/A for download,32.43,173153264.12
SITE,SiteOne Landscape Supply Inc.,149.5500,N/A for download,32.44,102254064.75
RPM,RPM International Inc.,116.0700,N/A for download,32.50,194581489.05
CAKE,The Cheesecake Factory Incorporated,61.8200,N/A for download,32.51,117931232.10
PSX,Phillips 66,154.6900,N/A for download,32.54,723082317.24
BRO,Brown & Brown Inc.,74.0300,N/A for download,32.54,226966356.10
VVV,Valvoline Inc.,35.6000,N/A for download,32.57,163586806.00
FAST,Fastenal Company,48.2800,N/A for download,32.63,795521774.84
GEHC,GE HealthCare Technologies Inc.,82.6300,N/A for download,33.19,578948003.93
BKR,Baker Hughes Company,59.1700,N/A for download,33.21,634995280.70
DOX,Amdocs Limited,73.0600,N/A for download,33.32,223504129.16
