Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
MRNA,59793458.28,14000000.00,09:34:52,2026-03-04
AA,48011368.60,14000000.00,09:34:52,2026-03-04
NBIS,30204719.20,14000000.00,09:34:52,2026-03-04
TEAM,29767207.50,14000000.00,09:34:52,2026-03-04
ANET,29402555.67,14000000.00,09:34:52,2026-03-04
ARM,28481688.48,14000000.00,09:34:52,2026-03-04
AXTI,26539594.38,14000000.00,09:34:52,2026-03-04
WIX,23908396.81,14000000.00,09:34:52,2026-03-04
VIAV,20804848.26,14000000.00,09:34:52,2026-03-04
IONQ,19488849.60,14000000.00,09:34:52,2026-03-04
DAL,19286629.44,14000000.00,09:34:52,2026-03-04
LYB,19002480.00,14000000.00,09:34:52,2026-03-04
ANF,17350002.06,14000000.00,09:34:52,2026-03-04
KKR,17047090.50,14000000.00,09:34:52,2026-03-04
DOW,16402496.00,14000000.00,09:34:52,2026-03-04
OKLO,16385116.00,14000000.00,09:34:52,2026-03-04
TEM,16365483.32,14000000.00,09:34:52,2026-03-04
SMCI,16131615.12,14000000.00,09:34:52,2026-03-04
GILD,16102719.60,14000000.00,09:34:52,2026-03-04
AU,15585197.10,14000000.00,09:34:52,2026-03-04
ZS,15509396.34,14000000.00,09:34:52,2026-03-04
CF,15339790.00,14000000.00,09:34:52,2026-03-04
EW,15339333.24,14000000.00,09:34:52,2026-03-04
SCHW,14915928.18,14000000.00,09:34:52,2026-03-04
PAAS,14727838.94,14000000.00,09:34:52,2026-03-04
KTOS,14578482.10,14000000.00,09:34:52,2026-03-04
GM,14551266.60,14000000.00,09:34:52,2026-03-04
