Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
SE,153397785.03,14000000.00,09:33:10,2026-03-03
AS,32801618.96,14000000.00,09:33:10,2026-03-03
UAL,28778922.12,14000000.00,09:33:10,2026-03-03
NKE,28113158.48,14000000.00,09:33:10,2026-03-03
SHOP,27696457.53,14000000.00,09:33:10,2026-03-03
PAAS,26429489.25,14000000.00,09:33:10,2026-03-03
ONON,26191810.08,14000000.00,09:33:10,2026-03-03
AU,26169219.40,14000000.00,09:33:10,2026-03-03
BBY,25763754.38,14000000.00,09:33:10,2026-03-03
PYPL,25133066.70,14000000.00,09:33:10,2026-03-03
IONQ,24732576.78,14000000.00,09:33:10,2026-03-03
AXTI,23924016.48,14000000.00,09:33:10,2026-03-03
APO,22325389.50,14000000.00,09:33:10,2026-03-03
ALAB,22170417.20,14000000.00,09:33:10,2026-03-03
CRH,21629179.36,14000000.00,09:33:10,2026-03-03
ANET,19432917.82,14000000.00,09:33:10,2026-03-03
DVN,19200208.50,14000000.00,09:33:10,2026-03-03
OKLO,18778476.53,14000000.00,09:33:10,2026-03-03
HYMC,18696809.89,14000000.00,09:33:10,2026-03-03
SMCI,18465531.00,14000000.00,09:33:10,2026-03-03
AMKR,17973378.25,14000000.00,09:33:10,2026-03-03
ARM,17839794.24,14000000.00,09:33:10,2026-03-03
DAL,17642176.80,14000000.00,09:33:10,2026-03-03
BIDU,17595904.48,14000000.00,09:33:10,2026-03-03
FTNT,17269000.68,14000000.00,09:33:10,2026-03-03
MP,17191817.30,14000000.00,09:33:10,2026-03-03
AA,16930095.05,14000000.00,09:33:10,2026-03-03
GM,16059633.12,14000000.00,09:33:10,2026-03-03
TEAM,16052839.76,14000000.00,09:33:10,2026-03-03
DDOG,15585585.84,14000000.00,09:33:10,2026-03-03
BSX,15295669.76,14000000.00,09:33:10,2026-03-03
EL,15293406.16,14000000.00,09:33:10,2026-03-03
LASR,14098746.32,14000000.00,09:33:10,2026-03-03
