Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
CRCL,109698793.26,14000000.00,09:32:56,2026-02-25
PCOR,33237561.69,14000000.00,09:32:56,2026-02-25
NBIS,29507964.45,14000000.00,09:32:56,2026-02-25
DELL,28088936.00,14000000.00,09:32:56,2026-02-25
RKLB,25840117.61,14000000.00,09:32:56,2026-02-25
TRI,25069709.49,14000000.00,09:32:56,2026-02-25
AG,21810429.90,14000000.00,09:32:56,2026-02-25
ASTS,20424903.00,14000000.00,09:32:56,2026-02-25
SE,18737832.00,14000000.00,09:32:56,2026-02-25
AXTI,18128998.80,14000000.00,09:32:56,2026-02-25
OKE,17763262.44,14000000.00,09:32:56,2026-02-25
TEM,17527213.12,14000000.00,09:32:56,2026-02-25
SLB,16232736.00,14000000.00,09:32:56,2026-02-25
IONQ,15954458.54,14000000.00,09:32:56,2026-02-25
ALAB,15876067.50,14000000.00,09:32:56,2026-02-25
MRVL,15850475.70,14000000.00,09:32:56,2026-02-25
FTNT,15589639.65,14000000.00,09:32:56,2026-02-25
RBLX,15527993.80,14000000.00,09:32:56,2026-02-25
SMCI,15375297.90,14000000.00,09:32:56,2026-02-25
RDDT,15095478.44,14000000.00,09:32:56,2026-02-25
TMDX,15066940.00,14000000.00,09:32:56,2026-02-25
TEAM,14905583.68,14000000.00,09:32:56,2026-02-25
OXY,14415820.05,14000000.00,09:32:56,2026-02-25
APLD,14274634.50,14000000.00,09:32:56,2026-02-25
