Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
U,50445535.47,14000000.00,09:32:52,2026-02-11
ASTS,44313139.64,14000000.00,09:32:52,2026-02-11
NBIS,41009428.98,14000000.00,09:32:52,2026-02-11
NKE,39825355.50,14000000.00,09:32:52,2026-02-11
NEM,36366500.00,14000000.00,09:32:52,2026-02-11
ANET,34717422.39,14000000.00,09:32:52,2026-02-11
DELL,32147872.85,14000000.00,09:32:52,2026-02-11
MRNA,31794087.37,14000000.00,09:32:52,2026-02-11
SE,31775957.50,14000000.00,09:32:52,2026-02-11
PYPL,29175371.50,14000000.00,09:32:52,2026-02-11
SLB,26684396.55,14000000.00,09:32:52,2026-02-11
RKLB,26628649.60,14000000.00,09:32:52,2026-02-11
APLD,26080204.11,14000000.00,09:32:52,2026-02-11
PDD,23753846.15,14000000.00,09:32:52,2026-02-11
SW,22640749.43,14000000.00,09:32:52,2026-02-11
BKR,19687527.06,14000000.00,09:32:52,2026-02-11
SMCI,18824946.08,14000000.00,09:32:52,2026-02-11
TDC,18612893.36,14000000.00,09:32:52,2026-02-11
UPST,18401428.99,14000000.00,09:32:52,2026-02-11
MRVL,18182497.66,14000000.00,09:32:52,2026-02-11
LSCC,16936093.60,14000000.00,09:32:52,2026-02-11
OKLO,16922456.16,14000000.00,09:32:52,2026-02-11
TSEM,16475451.83,14000000.00,09:32:52,2026-02-11
TEAM,16329389.75,14000000.00,09:32:52,2026-02-11
IONQ,16133312.30,14000000.00,09:32:52,2026-02-11
SOLS,14390214.88,14000000.00,09:32:52,2026-02-11
DVN,14287548.00,14000000.00,09:32:52,2026-02-11
