Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
GPN,Global Payments Inc.,75.9400,N/A for download,30.14,279464439.86
PNR,Pentair plc,108.1400,N/A for download,30.15,173285158.10
CMA,Comerica Incorporated,94.9700,N/A for download,30.15,226334213.46
GM,General Motors Company,81.1400,N/A for download,30.36,550884694.54
CALM,Cal-Maine Foods Inc.,81.5700,N/A for download,30.45,150762405.06
FITB,Fifth Third Bancorp,50.8900,N/A for download,30.45,630425370.89
BJ,BJ's Wholesale Club Holdings Inc.,96.0000,N/A for download,30.51,154112448.00
TECH,Bio-Techne Corporation,69.6500,N/A for download,30.59,170895677.75
CMC,Commercial Metals Company,77.3700,N/A for download,30.60,133399497.12
BAH,Booz Allen Hamilton Holding Corporation,95.7600,N/A for download,30.70,208134360.00
WHR,Whirlpool Corporation,89.6600,N/A for download,30.74,128035017.96
DG,Dollar General Corporation,144.6000,N/A for download,30.82,567816726.00
CELH,Celsius Holdings Inc.,55.2400,N/A for download,30.91,166259694.80
DT,Dynatrace Inc.,41.0600,N/A for download,30.97,228968585.34
JD,JD.com Inc.,30.0000,N/A for download,31.02,390826620.00
GMED,Globus Medical Inc.,94.6400,N/A for download,31.14,115647335.44
NKE,NIKE Inc.,65.4600,N/A for download,31.17,775944183.90
CFG,Citizens Financial Group Inc.,64.2500,N/A for download,31.23,462825324.75
AIG,American International Group Inc.,72.3100,N/A for download,31.32,404148254.86
MGM,MGM Resorts International,34.4200,N/A for download,31.39,111661784.32
FOUR,Shift4 Payments Inc.,66.0000,N/A for download,31.56,128535528.00
MAS,Masco Corporation,69.9000,N/A for download,31.66,143358329.40
ZM,Zoom Communications Inc.,84.6500,N/A for download,31.72,330217533.75
BROS,Dutch Bros Inc.,60.6400,N/A for download,31.81,166022314.40
ROKU,Roku Inc.,107.2300,N/A for download,31.94,280167648.79
CNC,Centene Corporation,45.4200,N/A for download,31.97,236065635.48
PNFP,Pinnacle Financial Partners Inc.,97.5500,N/A for download,32.01,287381226.95
WH,Wyndham Hotels & Resorts Inc.,78.2200,N/A for download,32.19,131076148.14
AR,Antero Resources Corporation,34.3800,N/A for download,32.34,214740402.30
DAL,Delta Air Lines Inc.,68.9500,N/A for download,32.45,473999119.30
CGNX,Cognex Corporation,41.7100,N/A for download,32.51,126772998.61
PDD,PDD Holdings Inc.,106.0200,N/A for download,32.94,796828508.64
FANG,Diamondback Energy Inc.,151.8500,N/A for download,32.99,329567495.65
QRVO,Qorvo Inc.,81.5900,N/A for download,33.01,139063872.57
EXE,Expand Energy Corporation,109.4900,N/A for download,33.30,312338290.85
ELF,e.l.f. Beauty Inc.,93.6100,N/A for download,33.50,136478325.06
OXY,Occidental Petroleum Corporation,43.1500,N/A for download,33.54,372090475.90
UAL,United Airlines Holdings Inc.,110.4000,N/A for download,33.59,668157249.60
KMX,CarMax Inc.,47.8300,N/A for download,33.62,188464788.15
IR,Ingersoll Rand Inc.,87.5500,N/A for download,33.86,491562432.40
OVV,Ovintiv Inc.,40.7200,N/A for download,33.87,152344270.08
AMCR,Amcor plc,42.7700,N/A for download,33.94,274752555.35
CF,CF Industries Holdings Inc.,89.2300,N/A for download,34.10,209778926.93
TRMB,Trimble Inc.,71.4800,N/A for download,34.14,162365747.80
OC,Owens Corning,125.3400,N/A for download,34.39,146846839.92
BKR,Baker Hughes Company,54.4600,N/A for download,34.39,536909213.26
OKTA,Okta Inc.,91.4600,N/A for download,34.57,165912372.78
PCTY,Paylocity Holding Corporation,147.4100,N/A for download,34.58,135574893.33
BKU,BankUnited Inc.,50.2300,N/A for download,34.79,102406864.57
RBRK,Rubrik Inc.,65.1000,N/A for download,34.92,151830516.60
CADE,Cadence Bank,43.7000,N/A for download,35.01,267690468.00
SOLS,Solstice Advanced Materials Inc.,62.9200,N/A for download,35.02,138256255.28
EQT,EQT Corporation,54.7300,N/A for download,35.03,896673333.40
ALK,Alaska Air Group Inc.,48.8600,N/A for download,35.03,232410603.04
TOL,Toll Brothers Inc.,147.5600,N/A for download,35.06,190605170.28
INCY,Incyte Corporation,105.0600,N/A for download,35.07,137361327.36
DINO,HF Sinclair Corporation,49.6000,N/A for download,35.33,110776243.20
SN,SharkNinja Inc.,123.9700,N/A for download,35.41,122531824.03
JEF,Jefferies Financial Group Inc.,63.3500,N/A for download,35.44,114700052.95
RVTY,Revvity Inc.,117.7500,N/A for download,35.44,221650009.50
CG,The Carlyle Group Inc.,62.3500,N/A for download,35.57,140274967.65
SW,Smurfit Westrock Plc,41.7800,N/A for download,35.59,150490724.40
KKR,KKR & Co. Inc.,123.4800,N/A for download,35.63,336997417.68
BBIO,BridgeBio Pharma Inc.,79.9100,N/A for download,35.72,213023518.63
BX,Blackstone Inc.,154.9100,N/A for download,35.74,506400480.18
COP,ConocoPhillips,96.8800,N/A for download,36.14,752873177.84
PCOR,Procore Technologies Inc.,65.0100,N/A for download,36.19,106643639.19
DLTR,Dollar Tree Inc.,126.7900,N/A for download,36.22,639719705.74
DECK,Deckers Outdoor Corporation,101.6200,N/A for download,36.44,233686368.20
PSX,Phillips 66,141.9300,N/A for download,36.52,361352218.77
XPO,XPO Inc.,149.6000,N/A for download,36.66,138984683.20
DELL,Dell Technologies Inc.,117.1700,N/A for download,36.72,980976180.99
OLLI,Ollie's Bargain Outlet Holdings Inc.,111.9200,N/A for download,36.91,157052299.60
FRPT,Freshpet Inc.,72.6000,N/A for download,36.96,118068291.00
IVZ,Invesco Ltd.,29.2400,N/A for download,37.07,124356959.76
TSEM,Tower Semiconductor Ltd.,129.9800,N/A for download,37.09,161465315.36
XYZ,Block Inc.,65.0500,N/A for download,37.34,391366950.10
IP,International Paper Company,41.8400,N/A for download,37.57,381592389.68
CRH,CRH plc,124.4900,N/A for download,37.75,573436917.61
ORI,Old Republic International Corporation,39.1100,N/A for download,37.84,273702965.46
CROX,Crocs Inc.,86.3100,N/A for download,37.94,119061365.22
MNDY,monday.com Ltd.,127.6800,N/A for download,38.05,159088258.56
