Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
OXY,45241646.80,14000000.00,09:32:52,2026-01-29
TEAM,40111349.02,14000000.00,09:32:52,2026-01-29
COP,38922986.90,14000000.00,09:32:52,2026-01-29
MP,37431809.10,14000000.00,09:32:52,2026-01-29
MRVL,28195225.60,14000000.00,09:32:52,2026-01-29
PAAS,28161726.00,14000000.00,09:32:52,2026-01-29
DVN,27814216.32,14000000.00,09:32:52,2026-01-29
DDOG,26943066.18,14000000.00,09:32:52,2026-01-29
ON,26201402.50,14000000.00,09:32:52,2026-01-29
WHR,23388772.50,14000000.00,09:32:52,2026-01-29
IP,22796704.84,14000000.00,09:32:52,2026-01-29
CRDO,21527068.30,14000000.00,09:32:52,2026-01-29
IONQ,19626795.92,14000000.00,09:32:52,2026-01-29
CRH,18501881.49,14000000.00,09:32:52,2026-01-29
BX,18315148.00,14000000.00,09:32:52,2026-01-29
SMCI,17744640.00,14000000.00,09:32:52,2026-01-29
DUOL,17644143.60,14000000.00,09:32:52,2026-01-29
TRU,17458284.75,14000000.00,09:32:52,2026-01-29
ARM,14960086.95,14000000.00,09:32:52,2026-01-29
DELL,14277263.77,14000000.00,09:32:52,2026-01-29
