Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
MCHP,Microchip Technology Incorporated,74.3100,N/A for download,30.54,393018159.00
IR,Ingersoll Rand Inc.,93.9700,N/A for download,30.64,268404255.72
AAON,AAON Inc.,104.7300,N/A for download,30.68,176197542.54
SBUX,Starbucks Corporation,96.7600,N/A for download,30.74,701600180.32
EMN,Eastman Chemical Company,75.2800,N/A for download,30.85,130443076.16
GEHC,GE HealthCare Technologies Inc.,80.1600,N/A for download,30.94,280624608.96
IONS,Ionis Pharmaceuticals Inc.,81.9600,N/A for download,30.99,253941503.64
GM,General Motors Company,77.7600,N/A for download,31.03,695869263.36
PFG,Principal Financial Group Inc.,95.8300,N/A for download,31.03,127426684.28
OKE,ONEOK Inc.,86.1200,N/A for download,31.06,528728831.16
TSCO,Tractor Supply Company,52.2800,N/A for download,31.13,409840120.12
PHM,PulteGroup Inc.,133.7200,N/A for download,31.26,163573123.72
ORLY,O'Reilly Automotive Inc.,95.0300,N/A for download,31.26,612408291.04
LOAR,Loar Holdings Inc.,72.3000,N/A for download,31.37,100534740.60
MIAX,Miami International Holdings Inc.,42.8900,N/A for download,31.42,100942687.25
STT,State Street Corporation,129.4600,N/A for download,31.45,276495619.06
PRU,Prudential Financial Inc.,99.9500,N/A for download,31.48,220078505.70
SLF,Sun Life Financial Inc.,89.1700,N/A for download,31.53,724551726.70
TOL,Toll Brothers Inc.,154.2800,N/A for download,31.63,166876653.44
PPG,PPG Industries Inc.,119.2000,N/A for download,31.80,275452843.20
TGT,Target Corporation,113.1700,N/A for download,31.94,713180364.50
TFC,Truist Financial Corporation,49.5500,N/A for download,31.97,322776628.00
ONON,On Holding AG,46.7600,N/A for download,32.09,428414886.20
OLLI,Ollie's Bargain Outlet Holdings Inc.,101.4500,N/A for download,32.09,176276375.05
NTRS,Northern Trust Corporation,145.2300,N/A for download,32.43,151067229.39
EW,Edwards Lifesciences Corporation,87.1800,N/A for download,32.46,326873825.34
HSIC,Henry Schein Inc.,81.3700,N/A for download,32.50,113863726.21
CTRA,Coterra Energy Inc.,31.5100,N/A for download,32.51,314233191.41
WFRD,Weatherford International plc,103.3300,N/A for download,32.53,137586994.90
SSNC,SS&C Technologies Holdings Inc.,75.1900,N/A for download,32.59,180800144.63
DVN,Devon Energy Corporation,44.9500,N/A for download,32.60,755247158.05
SARO,StandardAero Inc.,30.7300,N/A for download,32.63,200054451.10
GLNG,Golar LNG Limited,46.1400,N/A for download,32.66,166826829.24
CRH,CRH plc,117.7200,N/A for download,32.91,658891553.76
USB,U.S. Bancorp,54.6300,N/A for download,32.92,490617170.64
STNG,Scorpio Tankers Inc.,78.2800,N/A for download,33.06,123337968.00
MHK,Mohawk Industries Inc.,119.2200,N/A for download,33.10,164964356.34
CFG,Citizens Financial Group Inc.,61.0900,N/A for download,33.25,383852661.64
FWONK,Formula One Group,91.0900,N/A for download,33.31,200129284.50
CARR,Carrier Global Corporation,63.8400,N/A for download,33.52,232600465.44
RRC,Range Resources Corporation,41.8800,N/A for download,33.62,173143604.52
GIS,General Mills Inc.,45.1200,N/A for download,33.82,258203080.32
PAYX,Paychex Inc.,94.2500,N/A for download,33.97,355820045.75
VLTO,Veralto Corporation,97.2200,N/A for download,34.34,140843488.98
MET,MetLife Inc.,73.2400,N/A for download,34.49,296970842.12
RGEN,Repligen Corporation,124.9700,N/A for download,34.59,107602169.28
FITB,Fifth Third Bancorp,49.8400,N/A for download,34.60,478815471.68
KNX,Knight-Swift Transportation Holdings Inc.,62.2500,N/A for download,34.66,142105545.00
EXEL,Exelixis Inc.,41.0300,N/A for download,34.67,321093148.42
IFF,International Flavors & Fragrances Inc.,80.7500,N/A for download,34.74,135551552.75
SCI,Service Corporation International,85.6500,N/A for download,34.76,114267035.40
TRMB,Trimble Inc.,68.4100,N/A for download,34.88,161058347.10
DHI,D.R. Horton Inc.,154.4000,N/A for download,34.92,370178940.80
CF,CF Industries Holdings Inc.,104.3000,N/A for download,35.08,548573359.60
FIS,Fidelity National Information Services Inc.,50.0000,N/A for download,35.11,276605550.00
KR,The Kroger Co.,69.0500,N/A for download,35.12,379246284.15
BBY,Best Buy Co. Inc.,61.5900,N/A for download,35.39,524624790.21
XYL,Xylem Inc.,128.9800,N/A for download,35.42,350555644.86
WH,Wyndham Hotels & Resorts Inc.,80.5000,N/A for download,35.49,131745495.00
BRO,Brown & Brown Inc.,72.3600,N/A for download,35.56,185977573.56
TROW,T. Rowe Price Group Inc.,94.9200,N/A for download,35.76,141842088.36
BN,Brookfield Corporation,60.1000,N/A for download,35.86,128303523.40
QSR,Restaurant Brands International Inc.,71.9500,N/A for download,35.89,259122744.60
NYT,The New York Times Company,80.4200,N/A for download,35.97,178958706.42
LEN,Lennar Corporation,110.6100,N/A for download,36.19,248032748.88
TW,Tradeweb Markets Inc.,122.9850,N/A for download,36.22,159045554.84
EWBC,East West Bancorp Inc.,110.9100,N/A for download,36.30,151040676.21
FRO,Frontline plc,39.6200,N/A for download,36.35,407561550.06
OC,Owens Corning,116.7100,N/A for download,36.64,222538426.44
NKE,NIKE Inc.,61.0100,N/A for download,36.65,935588838.08
ARWR,Arrowhead Pharmaceuticals Inc.,64.3300,N/A for download,36.66,129329739.63
BK,The Bank of New York Mellon Corporation,119.4700,N/A for download,36.75,316026225.45
BIDU,Baidu Inc.,123.5600,N/A for download,37.11,233098040.52
DLTR,Dollar Tree Inc.,119.8800,N/A for download,37.35,351341426.88
ALLY,Ally Financial Inc.,39.7500,N/A for download,37.55,122818238.25
SWKS,Skyworks Solutions Inc.,58.9300,N/A for download,37.63,155175065.30
FLS,Flowserve Corporation,87.5100,N/A for download,37.93,131079391.29
NDAQ,Nasdaq Inc.,88.0900,N/A for download,38.26,415280572.84
AMCR,Amcor plc,48.1500,N/A for download,38.30,184230711.45
URBN,Urban Outfitters Inc.,65.6900,N/A for download,38.30,147884546.81
SFM,Sprouts Farmers Market Inc.,73.9900,N/A for download,38.43,142238006.05
APTV,Aptiv PLC,72.4700,N/A for download,38.50,144886807.02
DXCM,DexCom Inc.,73.7800,N/A for download,38.64,272941436.88
CVE,Cenovus Energy Inc.,31.2500,N/A for download,38.70,441344968.75
CMG,Chipotle Mexican Grill Inc.,36.6900,N/A for download,38.77,549227286.00
HAS,Hasbro Inc.,99.0500,N/A for download,38.78,176601791.80
FRPT,Freshpet Inc.,84.3600,N/A for download,38.82,144664071.12
TCOM,Trip.com Group Limited,51.4800,N/A for download,38.98,202106207.16
RVTY,Revvity Inc.,95.5900,N/A for download,39.16,101434946.14
THO,THOR Industries Inc.,95.6900,N/A for download,39.37,113892917.32
ON,ON Semiconductor Corporation,66.4800,N/A for download,39.62,373882589.28
IP,International Paper Company,42.8900,N/A for download,39.62,178836074.05
ABNB,Airbnb Inc.,133.2600,N/A for download,39.67,642316264.98
TIGO,Millicom International Cellular S.A.,75.1500,N/A for download,39.68,164476296.00
CPRT,Copart Inc.,38.3100,N/A for download,39.69,367479097.50
CHKP,Check Point Software Technologies Ltd.,154.9700,N/A for download,39.89,224471875.42
PNFP,Pinnacle Financial Partners Inc.,92.6700,N/A for download,40.07,134929188.06
INCY,Incyte Corporation,100.0400,N/A for download,40.21,167334006.84
CPA,Copa Holdings S.A.,132.0100,N/A for download,40.47,104363409.72
BIRK,Birkenstock Holding plc,42.5200,N/A for download,40.61,117932153.88
SJM,The J. M. Smucker Company,114.6800,N/A for download,40.93,311151152.16
BAM,Brookfield Asset Management Ltd.,64.4500,N/A for download,41.04,216493543.85
IRM,Iron Mountain Incorporated,110.3300,N/A for download,41.12,194996690.35
INSM,Insmed Incorporated,146.3200,N/A for download,41.34,390699567.04
TAP,Molson Coors Beverage Company,48.5900,N/A for download,41.48,191940558.13
SYF,Synchrony Financial,68.6400,N/A for download,41.54,259967341.92
MTCH,Match Group Inc.,31.2900,N/A for download,41.65,107091433.05
RYTM,Rhythm Pharmaceuticals Inc.,94.9400,N/A for download,42.06,103181931.28
DD,DuPont de Nemours Inc.,49.6400,N/A for download,42.07,171256163.32
HALO,Halozyme Therapeutics Inc.,69.8500,N/A for download,42.18,144105439.50
OVV,Ovintiv Inc.,52.1600,N/A for download,42.20,320972558.40
