Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
CSGP,60210851.18,14000000.00,09:33:00,2026-01-27
GM,58195942.62,14000000.00,09:33:00,2026-01-27
ZM,37777779.00,14000000.00,09:33:00,2026-01-27
AKAM,33962825.28,14000000.00,09:33:00,2026-01-27
PAAS,30558311.07,14000000.00,09:33:00,2026-01-27
UAL,29759158.04,14000000.00,09:33:00,2026-01-27
DDOG,27932891.71,14000000.00,09:33:00,2026-01-27
HIMS,26626851.46,14000000.00,09:33:00,2026-01-27
BROS,24737142.15,14000000.00,09:33:00,2026-01-27
FND,23983229.16,14000000.00,09:33:00,2026-01-27
ENPH,22659365.60,14000000.00,09:33:00,2026-01-27
OKTA,22415578.50,14000000.00,09:33:00,2026-01-27
OKLO,21755397.76,14000000.00,09:33:00,2026-01-27
AG,20701252.00,14000000.00,09:33:00,2026-01-27
CRCL,20318494.86,14000000.00,09:33:00,2026-01-27
SN,18914344.62,14000000.00,09:33:00,2026-01-27
AA,18407442.58,14000000.00,09:33:00,2026-01-27
MRNA,17603152.14,14000000.00,09:33:00,2026-01-27
SHOP,17199072.00,14000000.00,09:33:00,2026-01-27
SYF,16981649.78,14000000.00,09:33:00,2026-01-27
TEAM,16895865.74,14000000.00,09:33:00,2026-01-27
PDD,16863724.62,14000000.00,09:33:00,2026-01-27
DOCN,16049780.55,14000000.00,09:33:00,2026-01-27
CRDO,15270543.63,14000000.00,09:33:00,2026-01-27
TTD,14698151.28,14000000.00,09:33:00,2026-01-27
TOST,14504315.49,14000000.00,09:33:00,2026-01-27
HYMC,14182921.98,14000000.00,09:33:00,2026-01-27
