Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
PCAR,PACCAR Inc,98.3200,N/A for download,30.07,237211158.08
OXY,Occidental Petroleum Corporation,47.2500,N/A for download,30.16,788423233.50
COP,ConocoPhillips,94.5900,N/A for download,30.20,692253225.99
IRM,Iron Mountain Incorporated,101.9400,N/A for download,30.23,132011076.72
TOST,Toast Inc.,36.5100,N/A for download,30.25,324293612.73
TPG,TPG Inc.,57.4500,N/A for download,30.86,104597778.75
WYNN,Wynn Resorts Limited,128.2700,N/A for download,31.25,193901654.36
OLLI,Ollie's Bargain Outlet Holdings Inc.,128.4000,N/A for download,31.26,157154152.80
MOS,The Mosaic Company,34.6800,N/A for download,31.30,121157111.64
SWKS,Skyworks Solutions Inc.,76.9800,N/A for download,31.42,169004894.22
PCOR,Procore Technologies Inc.,72.9200,N/A for download,31.54,140539882.72
FANG,Diamondback Energy Inc.,143.1000,N/A for download,31.54,356096765.70
CG,The Carlyle Group Inc.,62.7000,N/A for download,31.69,417124101.90
ONON,On Holding AG,42.3500,N/A for download,31.83,228275689.95
ALK,Alaska Air Group Inc.,49.7800,N/A for download,31.90,111574203.88
BG,Bunge Global SA,81.2500,N/A for download,31.92,134005137.50
CAVA,CAVA Group Inc.,60.4100,N/A for download,32.10,334502252.00
GEHC,GE HealthCare Technologies Inc.,75.1000,N/A for download,32.40,307135719.00
OC,Owens Corning,141.4600,N/A for download,32.54,107302219.64
APO,Apollo Global Management Inc.,133.2700,N/A for download,32.55,601717648.29
ROKU,Roku Inc.,100.1300,N/A for download,32.61,287228011.63
STLD,Steel Dynamics Inc.,139.4300,N/A for download,32.61,167177685.44
TWLO,Twilio Inc.,100.0900,N/A for download,32.78,431940797.16
PRIM,Primoris Services Corporation,137.3300,N/A for download,32.90,121591432.68
CALM,Cal-Maine Foods Inc.,94.1000,N/A for download,33.03,151783770.50
XPO,XPO Inc.,129.2700,N/A for download,33.10,176158814.40
EXAS,Exact Sciences Corporation,54.7100,N/A for download,33.46,123839422.31
MGM,MGM Resorts International,34.6600,N/A for download,33.51,221514486.20
BBIO,BridgeBio Pharma Inc.,51.9400,N/A for download,33.97,115377386.46
AA,Alcoa Corporation,32.8900,N/A for download,33.98,282333285.52
ASO,Academy Sports and Outdoors Inc.,50.0200,N/A for download,34.04,125516586.56
EAT,Brinker International Inc.,126.6800,N/A for download,34.11,299631770.20
ESTC,Elastic N.V.,84.4900,N/A for download,34.20,125127493.26
K,Kinross Gold Corporation,34.5400,N/A for download,34.26,200368716.02
LEN,Lennar Corporation,126.0400,N/A for download,34.61,306976217.84
LSCC,Lattice Semiconductor Corporation,73.3200,N/A for download,34.83,138173006.40
IONS,Ionis Pharmaceuticals Inc.,65.4200,N/A for download,34.92,140016463.40
EL,The Estée Lauder Companies Inc.,88.1200,N/A for download,34.94,253575521.92
IBKR,Interactive Brokers Group Inc.,68.8100,N/A for download,34.95,338544511.90
FLR,Fluor Corporation,42.0700,N/A for download,35.27,138916149.68
SHAK,Shake Shack Inc.,93.6100,N/A for download,35.28,108465438.95
FOXA,Fox Corporation,63.0600,N/A for download,35.80,639832929.90
PINS,Pinterest Inc.,32.1700,N/A for download,35.85,407572249.59
CHRD,Chord Energy Corporation,99.3700,N/A for download,35.88,103933964.73
TRU,TransUnion,83.7800,N/A for download,35.97,419710739.06
DVN,Devon Energy Corporation,35.0600,N/A for download,36.81,319218460.14
LPX,Louisiana-Pacific Corporation,88.8400,N/A for download,36.98,106437871.40
LW,Lamb Weston Holdings Inc.,58.0800,N/A for download,37.13,366748831.68
RVTY,Revvity Inc.,87.6500,N/A for download,37.14,113921509.80
CPNG,Coupang Inc.,32.2000,N/A for download,37.20,359344755.00
EPAM,EPAM Systems Inc.,150.7900,N/A for download,37.32,108612830.68
DLTR,Dollar Tree Inc.,94.3700,N/A for download,37.56,397218334.83
MMYT,MakeMyTrip Limited,93.6000,N/A for download,37.81,106552929.60
AU,AngloGold Ashanti plc,70.3300,N/A for download,38.04,211582108.27
BROS,Dutch Bros Inc.,52.3400,N/A for download,38.26,181720816.20
OVV,Ovintiv Inc.,40.3800,N/A for download,38.41,162860898.66
FIVE,Five Below Inc.,154.7000,N/A for download,38.45,141671784.80
