Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
ANET,194558692.80,14000000.00,09:32:33,2026-01-22
RMBS,24954314.70,14000000.00,09:32:33,2026-01-22
RBLX,21376236.48,14000000.00,09:32:33,2026-01-22
AG,21217937.10,14000000.00,09:32:33,2026-01-22
MCHP,18896189.62,14000000.00,09:32:33,2026-01-22
ON,18874270.16,14000000.00,09:32:33,2026-01-22
KTOS,18719036.90,14000000.00,09:32:33,2026-01-22
LMND,18045208.20,14000000.00,09:32:33,2026-01-22
GILD,16854834.60,14000000.00,09:32:33,2026-01-22
MP,16724253.28,14000000.00,09:32:33,2026-01-22
PAAS,15994663.50,14000000.00,09:32:33,2026-01-22
AU,15067397.06,14000000.00,09:32:33,2026-01-22
