Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
FAST,Fastenal Company,43.7300,N/A for download,30.06,329789795.00
MIDD,The Middleby Corporation,147.4100,N/A for download,30.08,127694796.96
TW,Tradeweb Markets Inc.,106.3400,N/A for download,30.12,129756387.02
AS,Amer Sports Inc.,37.8700,N/A for download,30.17,153943178.41
EL,The Estée Lauder Companies Inc.,116.3900,N/A for download,30.18,347314045.06
PNR,Pentair plc,108.0200,N/A for download,30.20,124886458.84
DAR,Darling Ingredients Inc.,42.4000,N/A for download,30.23,116661607.20
CMA,Comerica Incorporated,94.2100,N/A for download,30.39,107334395.10
CDW,CDW Corporation,127.4000,N/A for download,30.50,195856351.60
MGM,MGM Resorts International,34.1000,N/A for download,30.51,105217391.40
NTRS,Northern Trust Corporation,149.6500,N/A for download,30.55,125886178.60
BJ,BJ's Wholesale Club Holdings Inc.,97.6200,N/A for download,30.60,228730395.78
FITB,Fifth Third Bancorp,50.4900,N/A for download,30.67,482256396.27
DT,Dynatrace Inc.,41.1800,N/A for download,30.73,141156886.36
APO,Apollo Global Management Inc.,131.5600,N/A for download,30.77,731465837.96
GEHC,GE HealthCare Technologies Inc.,80.2700,N/A for download,30.78,233997966.72
A,Agilent Technologies Inc.,135.6500,N/A for download,30.90,210528800.00
CART,Maplebear Inc.,40.3500,N/A for download,30.90,189379174.20
GM,General Motors Company,79.4300,N/A for download,30.90,868897875.95
JD,JD.com Inc.,29.7800,N/A for download,31.04,209676453.44
LKQ,LKQ Corporation,33.7700,N/A for download,31.14,204182909.37
AAUC,Allied Gold Corporation,43.4000,N/A for download,31.41,191419866.40
DG,Dollar General Corporation,150.3300,N/A for download,31.43,506255216.58
LYV,Live Nation Entertainment Inc.,147.8000,N/A for download,31.63,392588724.80
ROKU,Roku Inc.,107.0000,N/A for download,31.75,195590864.00
CMC,Commercial Metals Company,76.1200,N/A for download,31.77,104904701.88
CNC,Centene Corporation,46.2800,N/A for download,31.97,179621334.36
PDD,PDD Holdings Inc.,106.8600,N/A for download,32.07,536883019.92
PNFP,Pinnacle Financial Partners Inc.,95.9000,N/A for download,32.20,227581632.60
MAS,Masco Corporation,68.5900,N/A for download,32.50,125527039.13
TECH,Bio-Techne Corporation,67.6300,N/A for download,32.63,117033173.96
DAL,Delta Air Lines Inc.,67.5000,N/A for download,32.69,471281085.00
WH,Wyndham Hotels & Resorts Inc.,76.5000,N/A for download,32.72,119256921.00
CFG,Citizens Financial Group Inc.,62.5200,N/A for download,32.91,319750474.92
FANG,Diamondback Energy Inc.,153.5200,N/A for download,33.04,261905120.00
AIG,American International Group Inc.,73.7900,N/A for download,33.08,299098172.30
CELH,Celsius Holdings Inc.,54.5400,N/A for download,33.24,216557178.48
K,Kinross Gold Corporation,51.9200,N/A for download,33.29,337939543.92
FOUR,Shift4 Payments Inc.,64.2000,N/A for download,33.45,100992185.40
BROS,Dutch Bros Inc.,58.8800,N/A for download,33.61,294033472.00
OVV,Ovintiv Inc.,41.3600,N/A for download,33.81,200031684.16
VAL,Valaris Limited,57.8700,N/A for download,33.84,106193880.54
AR,Antero Resources Corporation,35.4300,N/A for download,33.84,240576892.29
SWK,Stanley Black & Decker Inc.,81.8000,N/A for download,33.93,135148078.60
IR,Ingersoll Rand Inc.,86.7900,N/A for download,34.01,210358998.30
OXY,Occidental Petroleum Corporation,43.9200,N/A for download,34.03,448935614.64
TRMB,Trimble Inc.,71.3800,N/A for download,34.15,122719351.20
UAL,United Airlines Holdings Inc.,107.7600,N/A for download,34.17,480134593.92
CVLT,Commvault Systems Inc.,129.3600,N/A for download,34.41,135664359.60
OC,Owens Corning,122.6600,N/A for download,34.49,123882797.54
KNX,Knight-Swift Transportation Holdings Inc.,56.2700,N/A for download,34.50,165914289.53
OKTA,Okta Inc.,91.2900,N/A for download,34.61,218583771.81
EXE,Expand Energy Corporation,112.3600,N/A for download,34.85,449432808.96
NE,Noble Corporation plc,35.2000,N/A for download,35.25,111797840.00
CNM,Core & Main Inc.,57.1400,N/A for download,35.27,192309869.74
CF,CF Industries Holdings Inc.,91.6500,N/A for download,35.36,160858214.40
SN,SharkNinja Inc.,123.2200,N/A for download,35.37,142628135.76
EQT,EQT Corporation,56.4100,N/A for download,35.41,596178787.52
WAL,Western Alliance Bancorporation,88.4200,N/A for download,35.62,102543503.44
MKC,McCormick & Company Incorporated,60.9700,N/A for download,35.63,260067595.97
AMCR,Amcor plc,44.5300,N/A for download,35.87,276016711.32
TOL,Toll Brothers Inc.,143.9400,N/A for download,35.90,129244589.64
COP,ConocoPhillips,98.4500,N/A for download,36.01,716541448.15
CG,The Carlyle Group Inc.,61.2100,N/A for download,36.18,211440579.87
OLLI,Ollie's Bargain Outlet Holdings Inc.,113.7900,N/A for download,36.27,105522815.13
DECK,Deckers Outdoor Corporation,101.3000,N/A for download,36.41,351369382.60
ESTC,Elastic N.V.,75.1600,N/A for download,36.49,133566385.04
PCOR,Procore Technologies Inc.,65.7900,N/A for download,36.55,104030963.82
PSX,Phillips 66,140.3900,N/A for download,36.56,188355507.01
CADE,Cadence Bank,42.9100,N/A for download,36.62,144429224.24
DELL,Dell Technologies Inc.,115.9300,N/A for download,36.62,731451176.53
RVTY,Revvity Inc.,114.7000,N/A for download,36.64,145872477.80
ARES,Ares Management Corporation,149.6900,N/A for download,36.69,568373379.07
INCY,Incyte Corporation,102.5800,N/A for download,36.76,147614569.02
BBIO,BridgeBio Pharma Inc.,77.8100,N/A for download,36.95,303509887.74
BX,Blackstone Inc.,150.0700,N/A for download,37.15,618112968.17
DLTR,Dollar Tree Inc.,125.4000,N/A for download,37.20,484430482.80
SOLS,Solstice Advanced Materials Inc.,61.4900,N/A for download,37.30,163386616.25
XPO,XPO Inc.,148.7900,N/A for download,37.35,167692727.97
TSEM,Tower Semiconductor Ltd.,127.0500,N/A for download,37.55,121114986.30
CRH,CRH plc,122.7500,N/A for download,37.56,378963988.25
WHR,Whirlpool Corporation,84.7100,N/A for download,37.65,114867522.39
NVT,nVent Electric plc,110.5800,N/A for download,38.11,228348363.48
SE,Sea Limited,125.9300,N/A for download,38.39,481464642.96
XYZ,Block Inc.,65.9000,N/A for download,38.47,338526850.20
IP,International Paper Company,43.0000,N/A for download,38.47,313924123.00
MNDY,monday.com Ltd.,130.0600,N/A for download,38.59,125432205.08
BBY,Best Buy Co. Inc.,66.7500,N/A for download,38.73,194184093.75
KMX,CarMax Inc.,45.1400,N/A for download,38.77,132847381.12
CHWY,Chewy Inc.,31.4300,N/A for download,38.87,180661400.08
TPG,TPG Inc.,60.8800,N/A for download,38.88,132137361.28
ALK,Alaska Air Group Inc.,49.8100,N/A for download,38.91,219682024.00
SW,Smurfit Westrock Plc,43.3800,N/A for download,38.93,246475703.16
FLEX,Flex Ltd.,63.7500,N/A for download,38.95,175376250.00
FLR,Fluor Corporation,45.6900,N/A for download,39.07,137739769.71
CNQ,Canadian Natural Resources Limited,49.4300,N/A for download,39.45,456037275.03
RBRK,Rubrik Inc.,68.3200,N/A for download,39.46,229466588.96
NTR,Nutrien Ltd.,96.2600,N/A for download,39.47,216029964.84
SHAK,Shake Shack Inc.,90.5700,N/A for download,39.99,254303713.98
ARM,Arm Holdings plc,114.7300,N/A for download,40.11,426411139.77
DVN,Devon Energy Corporation,38.6300,N/A for download,40.39,232396573.43
TRU,TransUnion,85.0200,N/A for download,40.56,105975049.44
PHM,PulteGroup Inc.,125.0700,N/A for download,40.68,205387702.74
ELF,e.l.f. Beauty Inc.,88.8000,N/A for download,40.78,218598693.60
AKAM,Akamai Technologies Inc.,98.6600,N/A for download,40.91,408661263.22
ONON,On Holding AG,46.4700,N/A for download,40.92,158762059.74
ILMN,Illumina Inc.,153.0000,N/A for download,41.09,412059753.00
ETSY,Etsy Inc.,60.0900,N/A for download,41.20,166531503.12
TOST,Toast Inc.,33.5000,N/A for download,41.24,240580216.50
HCC,Warrior Met Coal Inc.,89.4900,N/A for download,41.34,165248833.38
SFM,Sprouts Farmers Market Inc.,72.4600,N/A for download,41.38,177729743.08
TECKB,Teck Resources Limited,75.1000,N/A for download,41.40,102505642.20
ON,ON Semiconductor Corporation,61.1300,N/A for download,41.79,372087734.51
SYF,Synchrony Financial,77.5100,N/A for download,41.85,656005574.96
NTNX,Nutanix Inc.,43.3700,N/A for download,41.88,194138432.10
IBKR,Interactive Brokers Group Inc.,75.3500,N/A for download,41.95,474164815.85
SWKS,Skyworks Solutions Inc.,59.7600,N/A for download,42.12,208128004.56
SQM,Sociedad Química y Minera de Chile S.A.,84.0100,N/A for download,42.35,111831927.74
NTAP,NetApp Inc.,98.8100,N/A for download,42.64,234653197.52
DHI,D.R. Horton Inc.,150.0000,N/A for download,43.42,356140800.00
GH,Guardant Health Inc.,114.7400,N/A for download,43.48,128024941.42
PAAS,Pan American Silver Corp.,88.9000,N/A for download,43.55,133575894.90
LSCC,Lattice Semiconductor Corporation,83.4800,N/A for download,43.58,147038583.24
TWLO,Twilio Inc.,133.9700,N/A for download,44.07,383354083.24
SHOP,Shopify Inc.,136.3100,N/A for download,44.22,893679711.30
HAL,Halliburton Company,34.1600,N/A for download,44.27,477754278.96
FBIN,Fortune Brands Innovations Inc.,56.8100,N/A for download,44.35,124597339.49
CSGP,CoStar Group Inc.,65.8100,N/A for download,45.32,264990743.43
DOCU,DocuSign Inc.,57.6600,N/A for download,45.42,213635777.70
W,Wayfair Inc.,110.1300,N/A for download,45.64,206391108.84
LYB,LyondellBasell Industries N.V.,50.8600,N/A for download,45.92,234312833.76
NRG,NRG Energy Inc.,149.9300,N/A for download,46.02,275003255.23
IOT,Samsara Inc.,32.1900,N/A for download,46.16,160914204.72
DKNG,DraftKings Inc.,30.5800,N/A for download,46.32,477548044.16
WLK,Westlake Corporation,84.1600,N/A for download,46.39,118084222.72
LEN,Lennar Corporation,110.5800,N/A for download,46.71,228848295.66
BTU,Peabody Energy Corporation,35.7200,N/A for download,46.87,118366006.96
CAVA,CAVA Group Inc.,62.5500,N/A for download,47.14,261682053.30
TTD,The Trade Desk Inc.,33.8100,N/A for download,47.28,837970707.00
FIG,Figma Inc.,29.1700,N/A for download,47.43,197199555.35
BRKR,Bruker Corporation,48.4400,N/A for download,47.65,121793079.52
PEGA,Pegasystems Inc.,50.7500,N/A for download,47.74,107039413.25
