Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
MO,Altria Group Inc.,67.0100,N/A for download,30.07,630424049.10
AGCO,AGCO Corporation,138.9300,N/A for download,30.13,240284436.48
OKE,ONEOK Inc.,84.6000,N/A for download,30.23,389503053.00
CPB,The Campbell's Company,29.0200,N/A for download,30.46,170138659.14
NKE,NIKE Inc.,61.1000,N/A for download,30.46,831108289.70
AXTA,Axalta Coating Systems Ltd.,33.7900,N/A for download,30.48,125822910.67
GEHC,GE HealthCare Technologies Inc.,78.6500,N/A for download,30.60,302809342.55
HAL,Halliburton Company,34.2900,N/A for download,30.75,513269110.62
CNM,Core & Main Inc.,57.6300,N/A for download,30.76,113391231.99
VNO,Vornado Realty Trust,29.3500,N/A for download,30.78,155409013.10
CNQ,Canadian Natural Resources Limited,54.4300,N/A for download,30.95,403722659.26
EQH,Equitable Holdings Inc.,43.5800,N/A for download,30.98,135279510.70
BJ,BJ's Wholesale Club Holdings Inc.,100.5600,N/A for download,30.98,204305338.56
REXR,Rexford Industrial Realty Inc.,36.8900,N/A for download,31.24,178433831.24
CRH,CRH plc,122.8500,N/A for download,31.59,845880972.30
FITB,Fifth Third Bancorp,53.1600,N/A for download,31.82,621465544.68
OC,Owens Corning,135.2300,N/A for download,31.83,133809679.31
BKR,Baker Hughes Company,61.3900,N/A for download,31.87,604421875.12
FLS,Flowserve Corporation,87.0200,N/A for download,31.95,187727984.94
CTRA,Coterra Energy Inc.,30.7800,N/A for download,31.97,251000465.58
SGI,Somnigroup International Inc.,92.4500,N/A for download,32.05,188951251.45
HTHT,H World Group Limited,53.3200,N/A for download,32.09,139989633.84
INSM,Insmed Incorporated,146.1700,N/A for download,32.09,395657341.10
PHM,PulteGroup Inc.,138.8900,N/A for download,32.09,331047648.36
EOG,EOG Resources Inc.,117.8500,N/A for download,32.15,978995270.50
HSIC,Henry Schein Inc.,78.4300,N/A for download,32.33,146635002.47
WH,Wyndham Hotels & Resorts Inc.,77.6800,N/A for download,32.34,120313425.12
ATD,Alimentation Couche-Tard Inc.,82.9500,N/A for download,32.43,162881283.60
FLR,Fluor Corporation,45.6700,N/A for download,32.44,133492039.90
VLTO,Veralto Corporation,91.9800,N/A for download,32.44,219466487.52
HALO,Halozyme Therapeutics Inc.,76.9200,N/A for download,32.60,170876395.44
BK,The Bank of New York Mellon Corporation,114.9100,N/A for download,32.61,754222701.45
BBY,Best Buy Co. Inc.,64.8700,N/A for download,32.63,272510436.90
IFF,International Flavors & Fragrances Inc.,81.5000,N/A for download,32.65,340058505.50
SLG,SL Green Realty Corp.,38.5600,N/A for download,32.74,141686522.08
PNFP,Pinnacle Financial Partners Inc.,95.1200,N/A for download,32.81,177689772.08
FOXA,Fox Corporation,56.4300,N/A for download,32.92,562073836.50
LEN,Lennar Corporation,120.8300,N/A for download,32.96,303480373.73
BFB,Brown-Forman Corporation,30.6700,N/A for download,32.99,171305260.78
CFG,Citizens Financial Group Inc.,64.7800,N/A for download,33.24,452258849.24
PRU,Prudential Financial Inc.,104.1500,N/A for download,33.33,281429859.85
MHK,Mohawk Industries Inc.,133.4800,N/A for download,33.34,226153295.28
NTRS,Northern Trust Corporation,144.2100,N/A for download,33.42,232137721.20
FRO,Frontline plc,29.6900,N/A for download,33.49,112137704.88
BN,Brookfield Corporation,64.8100,N/A for download,33.53,279277761.37
CPRT,Copart Inc.,36.7200,N/A for download,33.66,657517206.24
SWK,Stanley Black & Decker Inc.,89.6700,N/A for download,33.76,176490377.07
DINO,HF Sinclair Corporation,57.3900,N/A for download,33.91,116767473.09
DVN,Devon Energy Corporation,43.9600,N/A for download,34.00,533429410.92
BXP,BXP Inc.,59.0700,N/A for download,34.04,375753898.41
SN,SharkNinja Inc.,129.0200,N/A for download,34.15,297522184.32
WAL,Western Alliance Bancorporation,94.2600,N/A for download,34.17,170486553.84
RRC,Range Resources Corporation,36.5800,N/A for download,34.23,143638795.74
EHC,Encompass Health Corporation,112.0600,N/A for download,34.45,245210252.30
SYF,Synchrony Financial,71.1100,N/A for download,34.50,493435347.73
VNT,Vontier Corporation,42.1000,N/A for download,34.57,190854161.30
PLMR,Palomar Holdings Inc.,127.0100,N/A for download,34.73,108627969.71
NVT,nVent Electric plc,111.9000,N/A for download,34.87,380853104.70
HQY,HealthEquity Inc.,73.2100,N/A for download,34.93,142930079.30
STT,State Street Corporation,126.3100,N/A for download,34.95,349142312.70
TXT,Textron Inc.,98.7500,N/A for download,35.19,283718032.50
LYV,Live Nation Entertainment Inc.,154.8700,N/A for download,35.21,775301521.28
OXY,Occidental Petroleum Corporation,45.4900,N/A for download,35.30,565472088.10
FAST,Fastenal Company,45.5400,N/A for download,35.35,463485444.84
FLUT,Flutter Entertainment plc,141.3700,N/A for download,35.39,390112352.81
CMC,Commercial Metals Company,79.7600,N/A for download,35.40,133345001.28
CF,CF Industries Holdings Inc.,94.1600,N/A for download,35.54,209094238.32
TGT,Target Corporation,112.6900,N/A for download,35.56,629759951.32
ONON,On Holding AG,44.2700,N/A for download,35.60,159961764.94
CRBG,Corebridge Financial Inc.,30.4200,N/A for download,35.68,121421886.30
BALL,Ball Corporation,66.7200,N/A for download,35.74,126813769.92
ITRI,Itron Inc.,95.7400,N/A for download,35.93,126301261.14
EMN,Eastman Chemical Company,79.8100,N/A for download,35.96,126651845.77
OVV,Ovintiv Inc.,45.9700,N/A for download,36.03,311734154.44
DLTR,Dollar Tree Inc.,128.4300,N/A for download,36.05,486726454.17
RGEN,Repligen Corporation,132.6300,N/A for download,36.22,176252404.89
GDDY,GoDaddy Inc.,88.2600,N/A for download,36.39,238099619.82
FUTU,Futu Holdings Limited,147.4800,N/A for download,36.43,360996824.64
TROW,T. Rowe Price Group Inc.,93.1600,N/A for download,36.52,315698092.68
CVE,Cenovus Energy Inc.,29.0300,N/A for download,36.57,270328666.35
CXT,Crane NXT Co.,53.5000,N/A for download,36.74,115373017.50
DOX,Amdocs Limited,68.3300,N/A for download,36.94,139393883.30
WBS,Webster Financial Corporation,71.4800,N/A for download,37.03,387223814.84
LNC,Lincoln National Corporation,40.6700,N/A for download,37.12,146961533.04
KMT,Kennametal Inc.,39.3000,N/A for download,37.21,140473055.40
ARMK,Aramark,39.1600,N/A for download,37.50,287243808.28
SFM,Sprouts Farmers Market Inc.,67.6300,N/A for download,37.99,186444412.90
YUMC,Yum China Holdings Inc.,53.6500,N/A for download,38.07,127849827.75
ROL,Rollins Inc.,58.6900,N/A for download,38.12,887165024.11
SE,Sea Limited,109.0600,N/A for download,38.20,756094876.04
PTC,PTC Inc.,150.7900,N/A for download,38.42,286117541.03
WYNN,Wynn Resorts Limited,107.8500,N/A for download,38.48,292220006.40
CYTK,Cytokinetics Incorporated,65.0400,N/A for download,38.52,112682060.16
FTNT,Fortinet Inc.,84.2600,N/A for download,38.71,657720415.44
EQT,EQT Corporation,57.1800,N/A for download,39.18,694920776.52
BAM,Brookfield Asset Management Ltd.,70.7500,N/A for download,39.20,199359986.75
HAS,Hasbro Inc.,101.5700,N/A for download,39.59,327655780.27
MDLN,Medline Inc.,44.5900,N/A for download,39.81,170540875.96
TW,Tradeweb Markets Inc.,116.0100,N/A for download,39.82,220139067.87
EBAY,eBay Inc.,79.4100,N/A for download,40.04,421213033.62
PAYC,Paycom Software Inc.,119.7600,N/A for download,40.12,578360680.56
DD,DuPont de Nemours Inc.,49.4300,N/A for download,40.13,396201716.30
TSCO,Tractor Supply Company,54.4100,N/A for download,40.16,318206220.64
NDAQ,Nasdaq Inc.,79.0100,N/A for download,40.35,638383180.77
KNX,Knight-Swift Transportation Holdings Inc.,59.9000,N/A for download,40.60,353950417.80
FIS,Fidelity National Information Services Inc.,46.9500,N/A for download,40.75,405321838.35
XYL,Xylem Inc.,126.1000,N/A for download,40.77,377664456.00
MORN,Morningstar Inc.,154.0100,N/A for download,41.02,216272700.77
IRM,Iron Mountain Incorporated,106.0000,N/A for download,41.21,621650038.00
BDC,Belden Inc.,150.9100,N/A for download,41.25,111751420.47
NTR,Nutrien Ltd.,95.8000,N/A for download,41.30,126981175.60
NBIX,Neurocrine Biosciences Inc.,123.1000,N/A for download,41.37,512926309.50
CART,Maplebear Inc.,33.2400,N/A for download,41.44,318914332.56
JEF,Jefferies Financial Group Inc.,54.0800,N/A for download,41.44,315023084.48
SYY,Sysco Corporation,89.9100,N/A for download,41.46,776872389.96
PJT,PJT Partners Inc.,154.1100,N/A for download,41.50,166984195.29
CELH,Celsius Holdings Inc.,44.3900,N/A for download,41.66,183368209.55
MAS,Masco Corporation,77.5400,N/A for download,41.74,354278321.50
GXO,GXO Logistics Inc.,64.2900,N/A for download,42.03,246693395.13
SSNC,SS&C Technologies Holdings Inc.,71.1600,N/A for download,42.08,267657381.36
IR,Ingersoll Rand Inc.,94.2100,N/A for download,42.29,817479200.42
APO,Apollo Global Management Inc.,125.3700,N/A for download,42.29,923199355.26
BRO,Brown & Brown Inc.,69.5300,N/A for download,42.34,468881673.64
ROKU,Roku Inc.,82.9300,N/A for download,42.34,941050828.76
TRMB,Trimble Inc.,66.0100,N/A for download,42.37,233829797.39
FISV,Fiserv Inc.,58.8200,N/A for download,42.49,611609065.96
MC,Moelis & Company,64.8200,N/A for download,42.54,142499834.26
EXE,Expand Energy Corporation,103.4400,N/A for download,42.61,452643509.76
GIBA,CGI Inc.,102.4600,N/A for download,42.75,104262886.16
BLDR,Builders FirstSource Inc.,120.5700,N/A for download,42.86,302857130.46
MKC,McCormick & Company Incorporated,71.6500,N/A for download,42.87,277299615.05
GPN,Global Payments Inc.,68.9700,N/A for download,42.94,269748291.12
INCY,Incyte Corporation,100.7500,N/A for download,42.99,171336860.50
AR,Antero Resources Corporation,33.8100,N/A for download,43.03,385736903.79
VIK,Viking Holdings Ltd,75.1500,N/A for download,43.20,195138322.65
APTV,Aptiv PLC,83.0000,N/A for download,43.21,221685530.00
MOS,The Mosaic Company,29.7700,N/A for download,43.24,181648412.79
MCHP,Microchip Technology Incorporated,78.9200,N/A for download,43.40,986814969.72
RVTY,Revvity Inc.,95.5700,N/A for download,43.41,197643347.36
STN,Stantec Inc.,118.7900,N/A for download,43.43,138064390.24
BIRK,Birkenstock Holding plc,39.4200,N/A for download,43.53,203119907.04
PNR,Pentair plc,99.7600,N/A for download,43.54,187709812.64
OLED,Universal Display Corporation,126.7700,N/A for download,43.67,119285879.51
CCI,Crown Castle Inc.,87.8100,N/A for download,43.72,528785322.06
SPSC,SPS Commerce Inc.,64.7500,N/A for download,43.84,108581800.25
AS,Amer Sports Inc.,38.5200,N/A for download,44.00,213393018.96
KYMR,Kymera Therapeutics Inc.,84.0200,N/A for download,44.05,103187986.72
ARE,Alexandria Real Estate Equities Inc.,50.4000,N/A for download,44.16,166566758.40
GM,General Motors Company,79.9300,N/A for download,44.22,548593000.74
TECH,Bio-Techne Corporation,59.5400,N/A for download,44.34,172057501.20
SWKS,Skyworks Solutions Inc.,60.7300,N/A for download,44.63,207241125.00
BSY,Bentley Systems Incorporated,34.1000,N/A for download,44.65,249918320.30
RBA,RB Global Inc.,100.9900,N/A for download,44.67,614666848.87
SHAK,Shake Shack Inc.,88.9300,N/A for download,44.71,137352562.86
ON,ON Semiconductor Corporation,70.6300,N/A for download,44.88,914629824.22
OKTA,Okta Inc.,84.9100,N/A for download,44.97,222120314.50
IP,International Paper Company,49.1700,N/A for download,45.25,404289900.96
CG,The Carlyle Group Inc.,54.4500,N/A for download,45.65,321130799.55
MGM,MGM Resorts International,34.1900,N/A for download,45.72,248068280.20
BIDU,Baidu Inc.,138.3800,N/A for download,45.81,461453295.16
AMCR,Amcor plc,49.7400,N/A for download,46.19,345427139.70
DAL,Delta Air Lines Inc.,69.5000,N/A for download,46.32,694239670.00
MTCH,Match Group Inc.,29.9200,N/A for download,46.48,137339681.60
IRTC,iRhythm Holdings Inc.,148.4100,N/A for download,46.48,105419333.25
RYAN,Ryan Specialty Holdings Inc.,44.3800,N/A for download,46.49,149970316.16
EEFT,Euronet Worldwide Inc.,67.9000,N/A for download,46.54,119887838.70
TPR,Tapestry Inc.,152.6600,N/A for download,46.81,366502158.84
ILMN,Illumina Inc.,114.4400,N/A for download,46.92,368269865.48
KGS,Kodiak Gas Services Inc.,50.2400,N/A for download,47.36,119947949.76
ARWR,Arrowhead Pharmaceuticals Inc.,62.3800,N/A for download,47.50,150542901.60
FND,Floor & Decor Holdings Inc.,69.3200,N/A for download,47.52,167732286.92
NE,Noble Corporation plc,42.5800,N/A for download,47.79,190299515.34
ACM,AECOM,88.3800,N/A for download,48.06,407161003.68
J,Jacobs Solutions Inc.,131.5200,N/A for download,48.50,364659980.16
QTWO,Q2 Holdings Inc.,52.4500,N/A for download,48.70,144615716.95
PCTY,Paylocity Holding Corporation,104.2000,N/A for download,48.74,185737125.20
GH,Guardant Health Inc.,102.7600,N/A for download,48.78,206151357.44
CNC,Centene Corporation,39.1800,N/A for download,49.07,345972603.66
