Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
TWLO,Twilio Inc.,120.9800,N/A for download,30.02,168926793.60
DXCM,DexCom Inc.,61.9000,N/A for download,30.11,247090686.80
CRC,California Resources Corporation,68.8900,N/A for download,30.19,112518519.23
CLX,The Clorox Company,102.4200,N/A for download,30.41,218767583.70
TPR,Tapestry Inc.,136.9200,N/A for download,30.47,215260831.80
BJ,BJ's Wholesale Club Holdings Inc.,98.9500,N/A for download,30.50,146359319.80
KR,The Kroger Co.,73.7200,N/A for download,30.62,323724055.80
PVH,PVH Corp.,66.5600,N/A for download,30.67,133120133.12
FWONK,Formula One Group,82.7700,N/A for download,30.77,117520818.96
VNOM,Viper Energy Inc.,46.7100,N/A for download,30.83,107286330.60
RBA,RB Global Inc.,94.4200,N/A for download,30.97,102980494.88
LULU,lululemon athletica inc.,145.8300,N/A for download,31.08,392859165.99
APTV,Aptiv PLC,66.6400,N/A for download,31.15,172432799.28
DD,DuPont de Nemours Inc.,44.2200,N/A for download,31.31,200956065.42
MKC,McCormick & Company Incorporated,53.7200,N/A for download,31.42,298741271.32
DAR,Darling Ingredients Inc.,60.3700,N/A for download,31.46,281483154.21
BG,Bunge Global SA,126.2800,N/A for download,31.57,269981083.68
CG,The Carlyle Group Inc.,46.4200,N/A for download,31.63,136931201.44
TOL,Toll Brothers Inc.,130.4600,N/A for download,31.78,302448288.12
CVE,Cenovus Energy Inc.,37.0300,N/A for download,31.80,528709896.40
MDLN,Medline Inc.,42.6200,N/A for download,31.82,345407013.42
BAH,Booz Allen Hamilton Holding Corporation,78.9500,N/A for download,31.84,168396007.75
CNM,Core & Main Inc.,47.7500,N/A for download,31.86,120860120.50
CHKP,Check Point Software Technologies Ltd.,141.2000,N/A for download,31.86,128424224.00
SBUX,Starbucks Corporation,86.7200,N/A for download,32.03,643646593.28
WYNN,Wynn Resorts Limited,96.7700,N/A for download,32.07,137392594.45
PYPL,PayPal Holdings Inc.,44.6700,N/A for download,32.22,794150228.52
TRU,TransUnion,66.4900,N/A for download,32.68,183996314.22
BWA,BorgWarner Inc.,52.5500,N/A for download,32.87,106361094.90
BIDU,Baidu Inc.,106.6000,N/A for download,32.95,165017333.00
ADM,Archer-Daniels-Midland Company,71.7500,N/A for download,33.27,291478276.25
AMCR,Amcor plc,38.1100,N/A for download,33.28,286389828.31
LEN,Lennar Corporation,84.8800,N/A for download,33.32,525823112.00
UBER,Uber Technologies Inc.,69.9100,N/A for download,33.32,969894777.07
JCI,Johnson Controls International plc,126.5800,N/A for download,33.34,433229290.34
FBIN,Fortune Brands Innovations Inc.,37.1600,N/A for download,33.44,104020278.64
AR,Antero Resources Corporation,44.2300,N/A for download,33.63,281953511.76
SGI,Somnigroup International Inc.,69.3700,N/A for download,33.82,261152521.84
CHRD,Chord Energy Corporation,146.2400,N/A for download,33.87,128684326.72
ARE,Alexandria Real Estate Equities Inc.,46.2900,N/A for download,33.88,114268809.18
MTDR,Matador Resources Company,64.8400,N/A for download,33.93,133425936.48
ABNB,Airbnb Inc.,123.1000,N/A for download,34.01,372093262.10
CRH,CRH plc,101.9100,N/A for download,34.22,567006246.54
GEHC,GE HealthCare Technologies Inc.,68.7700,N/A for download,34.36,259751304.54
APA,APA Corporation,43.7400,N/A for download,34.41,541133565.30
LW,Lamb Weston Holdings Inc.,40.9500,N/A for download,34.55,112094728.20
FTI,TechnipFMC plc,67.5900,N/A for download,34.57,311436876.24
HAL,Halliburton Company,39.2600,N/A for download,34.59,627641885.78
DG,Dollar General Corporation,117.8400,N/A for download,34.60,347712491.28
IONS,Ionis Pharmaceuticals Inc.,72.5200,N/A for download,34.63,148338209.60
TOU,Tourmaline Oil Corp.,68.9300,N/A for download,34.68,142660423.06
IFF,International Flavors & Fragrances Inc.,70.9600,N/A for download,34.72,106044256.08
DECK,Deckers Outdoor Corporation,94.9700,N/A for download,34.76,193919527.91
MCHP,Microchip Technology Incorporated,60.0600,N/A for download,34.76,512565733.68
IBKR,Interactive Brokers Group Inc.,63.6900,N/A for download,34.78,271525564.53
BOOT,Boot Barn Holdings Inc.,139.9400,N/A for download,34.96,146884942.32
ETSY,Etsy Inc.,47.5000,N/A for download,35.38,107998660.00
AKAM,Akamai Technologies Inc.,110.2200,N/A for download,35.42,445439360.52
ILMN,Illumina Inc.,120.8100,N/A for download,35.53,147938972.79
APG,APi Group Corporation,39.1100,N/A for download,35.60,123641728.24
CYTK,Cytokinetics Incorporated,62.9700,N/A for download,35.85,153849752.31
KKR,KKR & Co. Inc.,90.3600,N/A for download,35.94,661773688.56
CSGP,CoStar Group Inc.,40.8800,N/A for download,35.94,272582280.32
APO,Apollo Global Management Inc.,109.9500,N/A for download,35.97,463514675.70
CMG,Chipotle Mexican Grill Inc.,31.1600,N/A for download,36.23,405414938.84
NATL,NCR Atleos Corporation,42.6100,N/A for download,36.34,167926691.76
CARR,Carrier Global Corporation,54.3600,N/A for download,36.48,311018239.44
DASH,DoorDash Inc.,148.0100,N/A for download,36.66,831962581.89
GH,Guardant Health Inc.,86.2000,N/A for download,36.69,178632691.00
CART,Maplebear Inc.,37.1900,N/A for download,37.13,170411385.77
EMN,Eastman Chemical Company,72.5500,N/A for download,37.57,170512233.60
DLTR,Dollar Tree Inc.,105.7400,N/A for download,37.72,236349307.82
LYV,Live Nation Entertainment Inc.,148.6900,N/A for download,37.97,306050262.59
BBY,Best Buy Co. Inc.,63.9100,N/A for download,38.20,293150568.48
EQH,Equitable Holdings Inc.,35.6500,N/A for download,38.31,285807155.15
AER,AerCap Holdings N.V.,131.9800,N/A for download,38.32,141793900.82
DT,Dynatrace Inc.,37.1300,N/A for download,38.57,238842438.00
FLUT,Flutter Entertainment plc,99.5000,N/A for download,38.65,287313414.00
MGM,MGM Resorts International,35.6200,N/A for download,38.95,121189569.80
GWRE,Guidewire Software Inc.,144.9000,N/A for download,39.18,168628099.50
TERN,Terns Pharmaceuticals Inc.,52.8800,N/A for download,39.28,412614972.40
DOCU,DocuSign Inc.,47.2600,N/A for download,39.32,175751574.98
PPG,PPG Industries Inc.,103.8200,N/A for download,39.63,141477694.22
BABA,Alibaba Group Holding Limited,121.9800,N/A for download,39.81,881506767.00
ICLR,ICON Public Limited Company,105.1000,N/A for download,39.95,114513386.60
MHK,Mohawk Industries Inc.,95.3500,N/A for download,39.98,104128588.45
GPN,Global Payments Inc.,66.3000,N/A for download,40.59,146356785.90
FND,Floor & Decor Holdings Inc.,49.3500,N/A for download,40.69,105044534.70
PAYC,Paycom Software Inc.,120.9700,N/A for download,40.86,109647691.88
BKR,Baker Hughes Company,60.6800,N/A for download,40.89,588243206.48
KNX,Knight-Swift Transportation Holdings Inc.,55.4600,N/A for download,41.06,117148213.46
OLLI,Ollie's Bargain Outlet Holdings Inc.,90.3400,N/A for download,41.43,139037415.64
BX,Blackstone Inc.,111.6000,N/A for download,41.60,979739190.00
FLS,Flowserve Corporation,69.1600,N/A for download,41.63,137771561.20
CMC,Commercial Metals Company,60.0900,N/A for download,41.70,118108036.71
BLDR,Builders FirstSource Inc.,78.8500,N/A for download,41.72,148094729.55
WLK,Westlake Corporation,116.0000,N/A for download,42.02,235224452.00
GDDY,GoDaddy Inc.,81.7400,N/A for download,42.35,152998071.10
WHR,Whirlpool Corporation,50.8700,N/A for download,42.60,106876496.51
XYZ,Block Inc.,57.0300,N/A for download,42.75,299205043.50
GLNG,Golar LNG Limited,54.0800,N/A for download,42.93,103065447.68
MOH,Molina Healthcare Inc.,131.4700,N/A for download,42.99,115538859.81
OC,Owens Corning,104.3200,N/A for download,43.17,114162487.68
DAL,Delta Air Lines Inc.,63.1900,N/A for download,43.25,924585906.41
PSTG,Everpure Inc.,56.9900,N/A for download,43.87,160375900.94
RBLX,Roblox Corporation,51.9100,N/A for download,44.56,399712398.64
