Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
NBIX,Neurocrine Biosciences Inc.,132.3900,N/A for download,30.09,135487926.00
ESTC,Elastic N.V.,71.3800,N/A for download,30.20,161033280.00
ARM,Arm Holdings plc,105.7800,N/A for download,30.27,559692558.00
XYZ,Block Inc.,65.9500,N/A for download,30.35,365316835.00
CPX,Capital Power Corporation,57.2200,N/A for download,30.57,134872289.26
AMCR,Amcor plc,40.9400,N/A for download,30.76,420887804.94
K,Kinross Gold Corporation,46.8200,N/A for download,30.79,218436930.84
UAL,United Airlines Holdings Inc.,113.4900,N/A for download,30.89,456910740.00
OC,Owens Corning,124.5600,N/A for download,30.94,180412704.00
SBUX,Starbucks Corporation,92.9900,N/A for download,30.96,833023018.00
CE,Celanese Corporation,46.9400,N/A for download,31.00,109313872.00
TOL,Toll Brothers Inc.,146.6800,N/A for download,31.00,161083976.00
TTD,The Trade Desk Inc.,35.4800,N/A for download,31.11,444227375.48
CNC,Centene Corporation,45.7500,N/A for download,31.16,324111300.00
GMED,Globus Medical Inc.,93.4700,N/A for download,31.40,138756215.00
BKR,Baker Hughes Company,51.7500,N/A for download,31.51,444817125.00
IP,International Paper Company,43.3500,N/A for download,31.54,169810620.00
DINO,HF Sinclair Corporation,48.6300,N/A for download,31.61,116152755.00
AIG,American International Group Inc.,72.9300,N/A for download,31.64,418953678.00
OLLI,Ollie's Bargain Outlet Holdings Inc.,116.6100,N/A for download,31.96,103782900.00
CNM,Core & Main Inc.,58.5000,N/A for download,31.98,114455250.00
ETSY,Etsy Inc.,61.7700,N/A for download,32.17,157859412.00
SITE,SiteOne Landscape Supply Inc.,147.5300,N/A for download,32.23,105483950.00
RVTY,Revvity Inc.,112.5000,N/A for download,32.25,180405000.00
ROKU,Roku Inc.,103.6600,N/A for download,32.27,231265460.00
FM,First Quantum Minerals Ltd.,40.7200,N/A for download,32.52,104994443.28
IBKR,Interactive Brokers Group Inc.,73.3600,N/A for download,32.57,302786064.00
DLTR,Dollar Tree Inc.,139.9500,N/A for download,32.62,308631735.00
AR,Antero Resources Corporation,32.3500,N/A for download,32.66,175628150.00
SFM,Sprouts Farmers Market Inc.,78.5900,N/A for download,32.75,221498056.00
BROS,Dutch Bros Inc.,62.1500,N/A for download,32.78,220116655.00
DECK,Deckers Outdoor Corporation,100.6900,N/A for download,33.05,260686410.00
OKTA,Okta Inc.,89.5500,N/A for download,33.09,278536320.00
ALK,Alaska Air Group Inc.,50.0400,N/A for download,33.56,170546328.00
SN,SharkNinja Inc.,127.0600,N/A for download,33.72,126869410.00
TRU,TransUnion,86.2200,N/A for download,33.73,134149698.00
TECKB,Teck Resources Limited,70.3500,N/A for download,33.76,116948151.60
FBIN,Fortune Brands Innovations Inc.,61.5500,N/A for download,33.94,123986320.00
TWLO,Twilio Inc.,119.0700,N/A for download,33.99,207872406.00
