Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
SMCI,64926549.87,14000000.00,09:32:47,2026-01-13
SLB,34849260.26,14000000.00,09:32:47,2026-01-13
MP,33368039.77,14000000.00,09:32:47,2026-01-13
CRH,28606116.60,14000000.00,09:32:47,2026-01-13
U,27988869.80,14000000.00,09:32:47,2026-01-13
NEM,26612151.84,14000000.00,09:32:47,2026-01-13
ARM,24040782.27,14000000.00,09:32:47,2026-01-13
NKE,22084570.00,14000000.00,09:32:47,2026-01-13
MRVL,21831712.80,14000000.00,09:32:47,2026-01-13
SE,21482308.89,14000000.00,09:32:47,2026-01-13
BIDU,21086389.98,14000000.00,09:32:47,2026-01-13
IONQ,19496410.92,14000000.00,09:32:47,2026-01-13
CRCL,18690437.50,14000000.00,09:32:47,2026-01-13
TTMI,18570663.32,14000000.00,09:32:47,2026-01-13
AA,17899439.16,14000000.00,09:32:47,2026-01-13
KTOS,16655604.79,14000000.00,09:32:47,2026-01-13
SBUX,15932092.96,14000000.00,09:32:47,2026-01-13
COP,15924199.00,14000000.00,09:32:47,2026-01-13
HIMS,15868272.00,14000000.00,09:32:47,2026-01-13
