Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
HXL,Hexcel Corporation,89.7900,N/A for download,30.03,136385353.23
OHI,Omega Healthcare Investors Inc.,47.4000,N/A for download,30.06,105522259.20
KR,The Kroger Co.,71.2500,N/A for download,30.18,458932008.75
SCI,Service Corporation International,79.6600,N/A for download,30.25,139619444.72
SF,Stifel Financial Corp.,119.0000,N/A for download,30.33,125798827.00
CRH,CRH plc,125.9700,N/A for download,30.62,527935987.02
SBUX,Starbucks Corporation,93.7900,N/A for download,30.79,839317331.00
NYT,The New York Times Company,72.9400,N/A for download,30.84,203922005.00
EOG,EOG Resources Inc.,120.7300,N/A for download,30.86,587256797.68
NVT,nVent Electric plc,113.2500,N/A for download,30.88,203495301.00
CP,Canadian Pacific Kansas City Limited,114.1000,N/A for download,30.95,139482001.40
CNM,Core & Main Inc.,58.1800,N/A for download,31.03,113731136.70
MO,Altria Group Inc.,67.2500,N/A for download,31.04,576898610.50
GEHC,GE HealthCare Technologies Inc.,80.3400,N/A for download,31.12,457287246.00
BKR,Baker Hughes Company,61.2000,N/A for download,31.30,498394440.00
SOLV,Solventum Corporation,75.5500,N/A for download,31.30,103981278.20
BFB,Brown-Forman Corporation,29.9500,N/A for download,31.35,115145290.80
ZION,Zions Bancorporation National Association,61.2600,N/A for download,31.46,177427338.00
AXTA,Axalta Coating Systems Ltd.,34.1300,N/A for download,31.63,127156775.80
HSIC,Henry Schein Inc.,78.1900,N/A for download,31.70,115893218.00
KEX,Kirby Corporation,124.9300,N/A for download,31.81,103950255.24
BJ,BJ's Wholesale Club Holdings Inc.,102.7800,N/A for download,32.00,202016556.72
HAL,Halliburton Company,33.9600,N/A for download,32.01,391692466.56
PHM,PulteGroup Inc.,142.5600,N/A for download,32.07,307933306.56
PRU,Prudential Financial Inc.,104.6100,N/A for download,32.09,225014645.46
HTHT,H World Group Limited,52.5300,N/A for download,32.29,129833148.00
DINO,HF Sinclair Corporation,58.5300,N/A for download,32.37,102208831.92
LEN,Lennar Corporation,122.2800,N/A for download,32.44,314457693.60
EQH,Equitable Holdings Inc.,44.3900,N/A for download,32.57,122008045.72
REXR,Rexford Industrial Realty Inc.,37.2000,N/A for download,32.78,117216418.80
KBH,KB Home,66.3600,N/A for download,32.84,100703489.88
FUTU,Futu Holdings Limited,146.7200,N/A for download,32.93,208195680.00
FLR,Fluor Corporation,45.4800,N/A for download,33.06,135343022.40
ONON,On Holding AG,45.2900,N/A for download,33.10,142906209.11
INSM,Insmed Incorporated,148.7500,N/A for download,33.18,326907875.00
MHK,Mohawk Industries Inc.,132.6000,N/A for download,33.22,212127778.20
VNO,Vornado Realty Trust,29.8900,N/A for download,33.37,112363444.48
CTRA,Coterra Energy Inc.,31.3700,N/A for download,33.46,189181835.57
BBY,Best Buy Co. Inc.,65.8000,N/A for download,33.48,274732108.00
OC,Owens Corning,134.1900,N/A for download,33.53,142612301.16
FITB,Fifth Third Bancorp,52.8600,N/A for download,33.57,484414326.00
SXT,Sensient Technologies Corporation,93.0300,N/A for download,33.72,150194795.31
VLTO,Veralto Corporation,92.5400,N/A for download,33.79,147600837.30
SYF,Synchrony Financial,71.3800,N/A for download,33.81,309157130.10
PNFP,Pinnacle Financial Partners Inc.,96.1300,N/A for download,33.89,135551759.44
CPRT,Copart Inc.,37.4900,N/A for download,34.07,351108846.00
HALO,Halozyme Therapeutics Inc.,79.4400,N/A for download,34.31,137891952.00
FLS,Flowserve Corporation,89.6900,N/A for download,34.42,286438199.43
BK,The Bank of New York Mellon Corporation,117.7400,N/A for download,34.44,432861573.06
IFF,International Flavors & Fragrances Inc.,83.0000,N/A for download,34.50,337683508.00
FOXA,Fox Corporation,56.3500,N/A for download,34.54,342461490.00
OXY,Occidental Petroleum Corporation,46.0700,N/A for download,34.57,397191860.02
CFG,Citizens Financial Group Inc.,65.1000,N/A for download,34.85,236488770.00
EHC,Encompass Health Corporation,110.1400,N/A for download,34.88,153584392.58
SN,SharkNinja Inc.,131.0600,N/A for download,34.94,225669985.98
SGI,Somnigroup International Inc.,96.0400,N/A for download,34.94,334418194.88
SEIC,SEI Investments Company,78.6300,N/A for download,34.95,105938199.00
SLB,SLB N.V.,50.3900,N/A for download,35.02,983641925.42
NTRS,Northern Trust Corporation,146.3800,N/A for download,35.07,135357586.00
HQY,HealthEquity Inc.,73.8800,N/A for download,35.09,104961316.00
CMC,Commercial Metals Company,79.6400,N/A for download,35.12,107930915.40
CMG,Chipotle Mexican Grill Inc.,36.3000,N/A for download,35.12,680591640.30
BN,Brookfield Corporation,65.0600,N/A for download,35.18,118352727.92
WAL,Western Alliance Bancorporation,93.2000,N/A for download,35.19,171535438.80
CVE,Cenovus Energy Inc.,29.9000,N/A for download,35.50,159215347.20
KRC,Kilroy Realty Corporation,31.7500,N/A for download,35.62,112046543.75
SWK,Stanley Black & Decker Inc.,91.0600,N/A for download,35.63,171919914.10
FAST,Fastenal Company,46.4100,N/A for download,35.78,460438251.00
RRC,Range Resources Corporation,37.5700,N/A for download,35.88,162235976.24
EMN,Eastman Chemical Company,80.0800,N/A for download,35.96,116409973.68
CF,CF Industries Holdings Inc.,94.6600,N/A for download,36.34,116660782.54
APTV,Aptiv PLC,85.2000,N/A for download,36.45,209503477.20
TROW,T. Rowe Price Group Inc.,93.7600,N/A for download,36.48,250198560.00
OVV,Ovintiv Inc.,46.9300,N/A for download,36.86,198757701.35
DLTR,Dollar Tree Inc.,126.0600,N/A for download,36.89,366569874.00
TXT,Textron Inc.,98.0900,N/A for download,36.93,169491868.98
AAON,AAON Inc.,101.0400,N/A for download,37.00,112710120.00
BALL,Ball Corporation,67.2900,N/A for download,37.26,124691061.60
MOS,The Mosaic Company,29.6500,N/A for download,37.66,125240740.15
STNG,Scorpio Tankers Inc.,70.5100,N/A for download,37.67,158419400.15
CRBG,Corebridge Financial Inc.,31.0700,N/A for download,37.81,161902600.86
TCOM,Trip.com Group Limited,54.4300,N/A for download,38.05,235681900.00
DXCM,DexCom Inc.,70.0200,N/A for download,38.10,771683418.00
TGT,Target Corporation,115.7600,N/A for download,38.17,763685505.20
LNC,Lincoln National Corporation,40.8800,N/A for download,38.28,102722691.68
