Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
NEM,78886263.65,14000000.00,09:33:14,2026-02-20
BSX,51540311.90,14000000.00,09:33:14,2026-02-20
TEM,49489110.00,14000000.00,09:33:14,2026-02-20
ABNB,43701277.29,14000000.00,09:33:14,2026-02-20
APH,43490333.84,14000000.00,09:33:14,2026-02-20
AKAM,43049316.20,14000000.00,09:33:14,2026-02-20
DIS,41285061.20,14000000.00,09:33:14,2026-02-20
CPRT,39654813.10,14000000.00,09:33:14,2026-02-20
C,39572561.58,14000000.00,09:33:14,2026-02-20
ANET,39161246.16,14000000.00,09:33:14,2026-02-20
ABT,38546688.96,14000000.00,09:33:14,2026-02-20
GRAL,32767306.78,14000000.00,09:33:14,2026-02-20
AG,31061179.08,14000000.00,09:33:14,2026-02-20
SLB,27438933.60,14000000.00,09:33:14,2026-02-20
FCX,25689980.43,14000000.00,09:33:14,2026-02-20
ETSY,25348387.74,14000000.00,09:33:14,2026-02-20
ARES,24888971.58,14000000.00,09:33:14,2026-02-20
NKE,24885111.70,14000000.00,09:33:14,2026-02-20
KTOS,24843478.64,14000000.00,09:33:14,2026-02-20
CRH,21556884.79,14000000.00,09:33:14,2026-02-20
GM,20570996.83,14000000.00,09:33:14,2026-02-20
ASTS,20556511.36,14000000.00,09:33:14,2026-02-20
MRVL,19532616.00,14000000.00,09:33:14,2026-02-20
MRNA,19493857.24,14000000.00,09:33:14,2026-02-20
EOG,19405447.20,14000000.00,09:33:14,2026-02-20
RBLX,19354094.68,14000000.00,09:33:14,2026-02-20
CVS,18461984.64,14000000.00,09:33:14,2026-02-20
LYB,18334710.22,14000000.00,09:33:14,2026-02-20
RDDT,17979244.00,14000000.00,09:33:14,2026-02-20
ICE,17713127.13,14000000.00,09:33:14,2026-02-20
BKR,17682333.76,14000000.00,09:33:14,2026-02-20
CRCL,17549084.25,14000000.00,09:33:14,2026-02-20
DDOG,17386679.64,14000000.00,09:33:14,2026-02-20
DELL,17363240.96,14000000.00,09:33:14,2026-02-20
TEAM,17112601.50,14000000.00,09:33:14,2026-02-20
BK,16465219.28,14000000.00,09:33:14,2026-02-20
EMR,16390303.50,14000000.00,09:33:14,2026-02-20
VICR,16068901.25,14000000.00,09:33:14,2026-02-20
DECK,15243700.32,14000000.00,09:33:14,2026-02-20
FTNT,15186997.92,14000000.00,09:33:14,2026-02-20
CRDO,15031629.11,14000000.00,09:33:14,2026-02-20
GH,14068603.20,14000000.00,09:33:14,2026-02-20
TGT,14028265.44,14000000.00,09:33:14,2026-02-20
