Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
NTR,Nutrien Ltd.,97.8600,N/A for download,30.13,143858505.84
NDAQ,Nasdaq Inc.,89.9000,N/A for download,30.21,375161690.00
CLX,The Clorox Company,98.6800,N/A for download,30.27,203280800.00
CNC,Centene Corporation,41.8200,N/A for download,30.35,270705042.00
PNFP,Pinnacle Financial Partners Inc.,95.8400,N/A for download,30.46,137597488.00
EQT,EQT Corporation,58.9100,N/A for download,30.47,471886773.00
JEF,Jefferies Financial Group Inc.,47.4600,N/A for download,30.68,146974128.00
EOG,EOG Resources Inc.,133.1300,N/A for download,30.74,397512867.00
EW,Edwards Lifesciences Corporation,84.1500,N/A for download,30.77,994366890.00
FISV,Fiserv Inc.,60.8400,N/A for download,30.79,243195732.00
RRC,Range Resources Corporation,42.3600,N/A for download,30.86,164721096.00
PFGC,Performance Food Group Company,90.2800,N/A for download,30.89,135401944.00
AWR,American States Water Company,79.4100,N/A for download,31.07,110840478.00
BBY,Best Buy Co. Inc.,60.4500,N/A for download,31.10,187153200.00
CDW,CDW Corporation,135.3200,N/A for download,31.34,151165972.00
DXCM,DexCom Inc.,61.5700,N/A for download,31.44,221652000.00
KNX,Knight-Swift Transportation Holdings Inc.,65.2000,N/A for download,31.47,152437600.00
ALSN,Allison Transmission Holdings Inc.,135.5100,N/A for download,31.48,108990693.00
JCI,Johnson Controls International plc,141.9200,N/A for download,31.76,316410640.00
C,Citigroup Inc.,127.9800,N/A for download,32.04,874743300.00
APG,APi Group Corporation,48.6000,N/A for download,32.13,104922540.00
GEHC,GE HealthCare Technologies Inc.,68.8300,N/A for download,32.21,246934508.00
AER,AerCap Holdings N.V.,138.0800,N/A for download,32.22,196915888.00
MTN,Vail Resorts Inc.,119.0200,N/A for download,32.46,152464620.00
BTSG,BrightSpring Health Services Inc.,48.1600,N/A for download,32.67,107844688.00
DG,Dollar General Corporation,120.7100,N/A for download,32.75,223361784.00
CRH,CRH plc,118.0000,N/A for download,32.82,349055800.00
MHK,Mohawk Industries Inc.,107.7400,N/A for download,32.90,107686130.00
HAL,Halliburton Company,40.3600,N/A for download,32.93,579630140.00
EHC,Encompass Health Corporation,101.9800,N/A for download,33.12,104580490.00
KDP,Keurig Dr Pepper Inc.,29.2200,N/A for download,33.15,439877880.00
PDD,PDD Holdings Inc.,98.0300,N/A for download,33.47,476229740.00
DAR,Darling Ingredients Inc.,60.1800,N/A for download,33.60,101758362.00
VVV,Valvoline Inc.,33.2300,N/A for download,33.69,137482479.00
WHR,Whirlpool Corporation,53.8000,N/A for download,33.83,150930520.00
GM,General Motors Company,78.0500,N/A for download,33.85,477923565.00
MDLN,Medline Inc.,44.7600,N/A for download,33.94,327625296.00
AR,Antero Resources Corporation,37.8400,N/A for download,34.04,119343576.00
NUVL,Nuvalent Inc.,104.5000,N/A for download,34.19,103810300.00
CTRA,Coterra Energy Inc.,33.5300,N/A for download,34.22,213515687.00
DVN,Devon Energy Corporation,47.9400,N/A for download,34.35,521438586.00
TOL,Toll Brothers Inc.,146.6400,N/A for download,34.38,121637880.00
CVS,CVS Health Corporation,77.9400,N/A for download,34.42,574752942.00
P,Everpure Inc.,71.4300,N/A for download,34.45,192575280.00
TEVA,Teva Pharmaceutical Industries Limited,30.6400,N/A for download,34.72,147893152.00
EL,The Estée Lauder Companies Inc.,77.8200,N/A for download,34.81,175203948.00
BYD,Boyd Gaming Corporation,83.8800,N/A for download,34.84,277617636.00
NTAP,NetApp Inc.,108.7100,N/A for download,34.87,159836313.00
FLR,Fluor Corporation,48.2300,N/A for download,34.90,102879413.00
ILMN,Illumina Inc.,127.8800,N/A for download,34.93,113378408.00
EXEL,Exelixis Inc.,44.9400,N/A for download,34.93,105289926.00
SEIC,SEI Investments Company,88.8400,N/A for download,35.31,134761396.00
GDDY,GoDaddy Inc.,86.0400,N/A for download,35.41,186844464.00
PHM,PulteGroup Inc.,127.5600,N/A for download,35.62,235284420.00
CTSH,Cognizant Technology Solutions Corporation,55.1100,N/A for download,35.64,350262627.00
EBAY,eBay Inc.,97.9400,N/A for download,35.74,811765896.00
JD,JD.com Inc.,30.2700,N/A for download,35.77,116049126.00
WLK,Westlake Corporation,110.6400,N/A for download,35.90,116426472.00
LEN,Lennar Corporation,94.0500,N/A for download,36.06,217415385.00
FTI,TechnipFMC plc,74.7600,N/A for download,36.22,261360960.00
ALLY,Ally Financial Inc.,44.1800,N/A for download,36.29,129116050.00
APH,Amphenol Corporation,149.7100,N/A for download,36.81,697977962.00
CVE,Cenovus Energy Inc.,35.9500,N/A for download,37.08,128760137.75
OC,Owens Corning,125.6100,N/A for download,37.29,131475987.00
CAVA,CAVA Group Inc.,95.6800,N/A for download,37.30,234731744.00
GPN,Global Payments Inc.,67.7600,N/A for download,37.35,102954544.00
CG,The Carlyle Group Inc.,48.3200,N/A for download,37.52,120621216.00
APTV,Aptiv PLC,60.1000,N/A for download,37.53,105920240.00
EMR,Emerson Electric Co.,141.3500,N/A for download,37.64,347056655.00
EPAM,EPAM Systems Inc.,118.9800,N/A for download,37.86,150795252.00
RYAN,Ryan Specialty Holdings Inc.,34.6100,N/A for download,37.88,103023587.00
MKC,McCormick & Company Incorporated,51.5300,N/A for download,38.23,104322485.00
ROKU,Roku Inc.,115.2200,N/A for download,38.56,257689530.00
XYZ,Block Inc.,71.6300,N/A for download,38.63,281190728.00
BBIO,BridgeBio Pharma Inc.,73.2800,N/A for download,38.66,302983488.00
DECK,Deckers Outdoor Corporation,108.5300,N/A for download,38.76,116626338.00
FAST,Fastenal Company,44.6900,N/A for download,38.82,182294979.00
ELF,e.l.f. Beauty Inc.,66.2800,N/A for download,38.95,113617176.00
TPR,Tapestry Inc.,145.8900,N/A for download,39.01,173156841.00
APO,Apollo Global Management Inc.,124.2600,N/A for download,39.02,426149670.00
WFRD,Weatherford International plc,108.5400,N/A for download,39.16,158837436.00
SOLS,Solstice Advanced Materials Inc.,81.3000,N/A for download,39.20,109698090.00
KKR,KKR & Co. Inc.,101.8300,N/A for download,39.25,246387868.00
FTNT,Fortinet Inc.,84.3400,N/A for download,39.32,487341822.00
CSGP,CoStar Group Inc.,36.4400,N/A for download,39.33,158266208.00
LVS,Las Vegas Sands Corp.,52.8100,N/A for download,39.48,324459359.00
SE,Sea Limited,85.4400,N/A for download,39.53,280499520.00
NVT,nVent Electric plc,142.1700,N/A for download,39.74,317522478.00
