Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
NBIS,66700871.40,14000000.00,09:32:36,2026-01-26
PAAS,66396709.86,14000000.00,09:32:36,2026-01-26
NEM,57108974.67,14000000.00,09:32:36,2026-01-26
IONQ,48440993.28,14000000.00,09:32:36,2026-01-26
MP,39093041.82,14000000.00,09:32:36,2026-01-26
RVMD,38955279.00,14000000.00,09:32:36,2026-01-26
OKLO,35312772.08,14000000.00,09:32:36,2026-01-26
PDD,27524853.30,14000000.00,09:32:36,2026-01-26
BKR,24651892.65,14000000.00,09:32:36,2026-01-26
MRNA,22471341.72,14000000.00,09:32:36,2026-01-26
HYMC,20591975.88,14000000.00,09:32:36,2026-01-26
ARM,20080730.15,14000000.00,09:32:36,2026-01-26
RBLX,19553062.00,14000000.00,09:32:36,2026-01-26
SE,16559626.12,14000000.00,09:32:36,2026-01-26
KTOS,15930680.80,14000000.00,09:32:36,2026-01-26
AA,15425337.78,14000000.00,09:32:36,2026-01-26
OXY,15087592.20,14000000.00,09:32:36,2026-01-26
COP,14587161.05,14000000.00,09:32:36,2026-01-26
DELL,14376019.98,14000000.00,09:32:36,2026-01-26
TEAM,14095793.34,14000000.00,09:32:36,2026-01-26
