Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
GIS,General Mills Inc.,43.5600,N/A for download,30.00,352701748.08
CLX,The Clorox Company,117.4300,N/A for download,30.05,318481903.00
EW,Edwards Lifesciences Corporation,85.2200,N/A for download,30.23,378316293.80
TOL,Toll Brothers Inc.,153.5600,N/A for download,30.28,153898292.68
SLB,SLB N.V.,47.8900,N/A for download,30.35,953332006.67
VNOM,Viper Energy Inc.,44.6500,N/A for download,30.50,398880194.55
TFC,Truist Financial Corporation,49.1100,N/A for download,30.52,253741548.00
NKE,NIKE Inc.,58.6400,N/A for download,30.88,936558849.84
IFF,International Flavors & Fragrances Inc.,78.1900,N/A for download,30.89,100684090.15
OKE,ONEOK Inc.,84.7600,N/A for download,30.91,334723851.28
SLF,Sun Life Financial Inc.,89.3600,N/A for download,31.01,130568542.72
HSIC,Henry Schein Inc.,80.5800,N/A for download,31.17,108267852.06
STT,State Street Corporation,126.5400,N/A for download,31.26,201638073.42
UNM,Unum Group,73.3900,N/A for download,31.32,129646737.55
KMT,Kennametal Inc.,41.7800,N/A for download,31.36,135364108.28
GLNG,Golar LNG Limited,46.6500,N/A for download,31.40,154897966.20
PFG,Principal Financial Group Inc.,93.5000,N/A for download,31.65,133774190.00
MHK,Mohawk Industries Inc.,115.0900,N/A for download,31.66,107071679.70
CF,CF Industries Holdings Inc.,104.7100,N/A for download,31.95,379845996.00
SWKS,Skyworks Solutions Inc.,56.2800,N/A for download,31.96,171496641.12
MET,MetLife Inc.,73.3200,N/A for download,32.01,241403607.12
SSNC,SS&C Technologies Holdings Inc.,75.2000,N/A for download,32.15,116793947.20
DIS,The Walt Disney Company,103.0400,N/A for download,32.17,996635131.52
STNG,Scorpio Tankers Inc.,80.1900,N/A for download,32.35,102279137.40
KR,The Kroger Co.,67.9900,N/A for download,32.59,544942841.56
USB,U.S. Bancorp,54.3400,N/A for download,32.70,379707107.78
MCHP,Microchip Technology Incorporated,69.9000,N/A for download,32.80,520911925.50
BN,Brookfield Corporation,58.9900,N/A for download,32.81,145276796.64
FITB,Fifth Third Bancorp,49.5400,N/A for download,32.87,325872088.86
BRO,Brown & Brown Inc.,71.8500,N/A for download,32.96,204851535.00
IP,International Paper Company,42.5800,N/A for download,33.09,223566290.00
NTRS,Northern Trust Corporation,145.0700,N/A for download,33.13,176342594.83
CCI,Crown Castle Inc.,91.1500,N/A for download,33.14,236926195.00
FTV,Fortive Corporation,58.0000,N/A for download,33.15,110421038.00
RRC,Range Resources Corporation,41.5500,N/A for download,33.24,174497535.00
CFG,Citizens Financial Group Inc.,60.2000,N/A for download,33.35,317109520.00
DHI,D.R. Horton Inc.,152.7000,N/A for download,33.42,303961566.00
QSR,Restaurant Brands International Inc.,71.3600,N/A for download,33.43,310575917.76
IONS,Ionis Pharmaceuticals Inc.,79.4500,N/A for download,33.83,198872804.55
SARO,StandardAero Inc.,30.1300,N/A for download,33.99,166069780.75
PAYX,Paychex Inc.,95.7900,N/A for download,34.00,258061421.07
CDW,CDW Corporation,124.8700,N/A for download,34.08,202265050.35
CARR,Carrier Global Corporation,61.0800,N/A for download,34.14,259883184.00
TRMB,Trimble Inc.,69.9200,N/A for download,34.19,110427522.72
ANF,Abercrombie & Fitch Co.,95.6500,N/A for download,34.40,406044867.15
FIS,Fidelity National Information Services Inc.,50.0800,N/A for download,34.48,339592830.56
ALLY,Ally Financial Inc.,40.4100,N/A for download,34.74,149274540.00
CRH,CRH plc,113.2600,N/A for download,34.78,582133748.00
DD,DuPont de Nemours Inc.,48.0800,N/A for download,34.83,166649078.32
LEN,Lennar Corporation,106.5300,N/A for download,35.31,220858102.53
FRPT,Freshpet Inc.,85.5000,N/A for download,35.56,132705063.00
KNX,Knight-Swift Transportation Holdings Inc.,63.5000,N/A for download,35.70,198140320.00
BIDU,Baidu Inc.,118.9800,N/A for download,35.71,305212493.16
