Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
ROKU,66972096.00,14000000.00,09:34:06,2026-02-13
BIDU,60778589.72,14000000.00,09:34:06,2026-02-13
ARM,43176921.80,14000000.00,09:34:06,2026-02-13
BROS,39876019.77,14000000.00,09:34:06,2026-02-13
AMKR,36900611.96,14000000.00,09:34:06,2026-02-13
NKE,31298436.66,14000000.00,09:34:06,2026-02-13
CART,30248988.00,14000000.00,09:34:06,2026-02-13
TWLO,29336032.50,14000000.00,09:34:06,2026-02-13
CCL,24288457.22,14000000.00,09:34:06,2026-02-13
AA,23968620.62,14000000.00,09:34:06,2026-02-13
IONQ,22064068.01,14000000.00,09:34:06,2026-02-13
MRNA,19890719.10,14000000.00,09:34:06,2026-02-13
CRCL,19854054.96,14000000.00,09:34:06,2026-02-13
CRDO,19650738.18,14000000.00,09:34:06,2026-02-13
CRH,19599619.80,14000000.00,09:34:06,2026-02-13
ROL,19406173.05,14000000.00,09:34:06,2026-02-13
EXE,19180101.92,14000000.00,09:34:06,2026-02-13
SMCI,19082163.04,14000000.00,09:34:06,2026-02-13
RAPT,18663833.44,14000000.00,09:34:06,2026-02-13
FLUT,18509127.00,14000000.00,09:34:06,2026-02-13
USFD,17415223.68,14000000.00,09:34:06,2026-02-13
APLD,17330949.20,14000000.00,09:34:06,2026-02-13
TEAM,15891195.06,14000000.00,09:34:06,2026-02-13
IR,15770920.62,14000000.00,09:34:06,2026-02-13
DLTR,15664898.85,14000000.00,09:34:06,2026-02-13
WDAY,15314352.36,14000000.00,09:34:06,2026-02-13
DDOG,15190373.63,14000000.00,09:34:06,2026-02-13
SW,15152922.85,14000000.00,09:34:06,2026-02-13
KKR,14722166.58,14000000.00,09:34:06,2026-02-13
TGT,14217871.47,14000000.00,09:34:06,2026-02-13
