Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
TEAM,43955551.74,14000000.00,09:32:45,2026-02-06
ALAB,42102506.82,14000000.00,09:32:45,2026-02-06
MCHP,36008487.20,14000000.00,09:32:45,2026-02-06
CRCL,30530463.54,14000000.00,09:32:45,2026-02-06
NKE,26946730.58,14000000.00,09:32:45,2026-02-06
DOCS,25728216.53,14000000.00,09:32:45,2026-02-06
AFRM,23416666.80,14000000.00,09:32:45,2026-02-06
NDAQ,21931658.28,14000000.00,09:32:45,2026-02-06
DAL,21927737.60,14000000.00,09:32:45,2026-02-06
PI,20362002.64,14000000.00,09:32:45,2026-02-06
CRDO,20238337.08,14000000.00,09:32:45,2026-02-06
DDOG,19803120.00,14000000.00,09:32:45,2026-02-06
ILMN,17820529.56,14000000.00,09:32:45,2026-02-06
IBKR,17283721.91,14000000.00,09:32:45,2026-02-06
PAAS,15955465.50,14000000.00,09:32:45,2026-02-06
BIDU,15062820.00,14000000.00,09:32:45,2026-02-06
SE,14481694.80,14000000.00,09:32:45,2026-02-06
TGT,14307513.66,14000000.00,09:32:45,2026-02-06
MP,14062083.00,14000000.00,09:32:45,2026-02-06
