Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
VNOM,Viper Energy Inc.,44.1000,N/A for download,30.21,213276420.00
STT,State Street Corporation,121.0400,N/A for download,30.43,346416480.00
OKE,ONEOK Inc.,86.9300,N/A for download,30.53,484278337.00
CNM,Core & Main Inc.,49.8200,N/A for download,30.83,101702548.00
GIS,General Mills Inc.,44.2900,N/A for download,30.85,295086554.00
HSIC,Henry Schein Inc.,77.6000,N/A for download,30.88,133844480.00
SLF,Sun Life Financial Inc.,88.1200,N/A for download,30.88,136248676.64
NTRS,Northern Trust Corporation,138.5900,N/A for download,31.12,147057849.00
PPG,PPG Industries Inc.,106.7000,N/A for download,31.14,337321380.00
EIX,Edison International,71.7600,N/A for download,31.22,289723824.00
TOL,Toll Brothers Inc.,147.6800,N/A for download,31.31,147163120.00
EW,Edwards Lifesciences Corporation,81.6400,N/A for download,31.45,426462868.00
USB,U.S. Bancorp,52.3700,N/A for download,31.47,513482613.00
PFG,Principal Financial Group Inc.,92.2600,N/A for download,31.50,141167026.00
CCI,Crown Castle Inc.,90.4300,N/A for download,31.59,240281553.00
ALSN,Allison Transmission Holdings Inc.,116.9400,N/A for download,31.60,127675092.00
BN,Brookfield Corporation,55.9700,N/A for download,31.78,187160881.50
TOU,Tourmaline Oil Corp.,63.3700,N/A for download,31.80,352223894.44
CLX,The Clorox Company,114.6600,N/A for download,31.80,241221708.00
MET,MetLife Inc.,71.8300,N/A for download,31.82,276128886.00
CRH,CRH plc,106.4100,N/A for download,31.90,644663703.00
TFC,Truist Financial Corporation,46.4900,N/A for download,32.08,963984097.00
SWKS,Skyworks Solutions Inc.,54.8100,N/A for download,32.18,218538432.00
FITB,Fifth Third Bancorp,47.3000,N/A for download,32.20,404651500.00
CFG,Citizens Financial Group Inc.,58.0400,N/A for download,32.26,380051724.00
TRMB,Trimble Inc.,70.0800,N/A for download,32.39,141197184.00
WFRD,Weatherford International plc,90.8000,N/A for download,32.49,128055240.00
RRC,Range Resources Corporation,41.4900,N/A for download,32.55,197911449.00
BK,The Bank of New York Mellon Corporation,115.2300,N/A for download,32.68,336817290.00
MTN,Vail Resorts Inc.,138.7600,N/A for download,32.77,135943172.00
CDW,CDW Corporation,123.4200,N/A for download,32.90,171269934.00
FIS,Fidelity National Information Services Inc.,51.4900,N/A for download,32.94,376453688.00
FTV,Fortive Corporation,57.3900,N/A for download,33.02,253371111.00
TPR,Tapestry Inc.,144.1500,N/A for download,33.13,255433800.00
EXEL,Exelixis Inc.,41.5450,N/A for download,33.20,112719894.00
BBIO,BridgeBio Pharma Inc.,65.3600,N/A for download,33.24,212021304.00
ARWR,Arrowhead Pharmaceuticals Inc.,59.8200,N/A for download,33.28,168710346.00
EWBC,East West Bancorp Inc.,106.3200,N/A for download,33.64,123044136.00
DHI,D.R. Horton Inc.,147.2600,N/A for download,33.78,366176716.00
OSK,Oshkosh Corporation,154.6200,N/A for download,33.87,101276100.00
INCY,Incyte Corporation,95.9400,N/A for download,34.06,120404700.00
DLTR,Dollar Tree Inc.,115.7900,N/A for download,34.07,252642201.00
IBKR,Interactive Brokers Group Inc.,66.7000,N/A for download,34.17,358752620.00
CARR,Carrier Global Corporation,58.3500,N/A for download,34.18,517517820.00
APTV,Aptiv PLC,72.7000,N/A for download,34.27,172887870.00
IFF,International Flavors & Fragrances Inc.,73.7700,N/A for download,34.32,140930208.00
WMS,Advanced Drainage Systems Inc.,146.1100,N/A for download,34.49,189270894.00
GILD,Gilead Sciences Inc.,143.9300,N/A for download,34.54,708322709.00
TGT,Target Corporation,120.7900,N/A for download,34.57,722275884.00
COGT,Cogent Biosciences Inc.,37.0800,N/A for download,34.67,111188088.00
QSR,Restaurant Brands International Inc.,73.9800,N/A for download,34.82,372148992.00
BAM,Brookfield Asset Management Ltd.,62.5800,N/A for download,34.88,103261380.60
UMBF,UMB Financial Corporation,113.4900,N/A for download,35.03,105012297.00
IONS,Ionis Pharmaceuticals Inc.,74.0400,N/A for download,35.05,140986968.00
SUNB,Sunbelt Rentals Holdings Inc.,74.4300,N/A for download,35.28,442620324.00
MHK,Mohawk Industries Inc.,107.3700,N/A for download,35.41,182947743.00
ARM,Arm Holdings plc,114.3800,N/A for download,35.49,495391218.00
EXE,Expand Energy Corporation,106.8400,N/A for download,35.49,286726508.00
AER,AerCap Holdings N.V.,136.1000,N/A for download,35.51,266837660.00
HQY,HealthEquity Inc.,78.3600,N/A for download,35.70,107901720.00
MCHP,Microchip Technology Incorporated,64.7700,N/A for download,35.73,760717173.00
MTCH,Match Group Inc.,30.4700,N/A for download,35.88,115414266.00
FLS,Flowserve Corporation,76.2300,N/A for download,36.04,157948560.00
SCHW,The Charles Schwab Corporation,95.2300,N/A for download,36.17,928035396.00
URBN,Urban Outfitters Inc.,64.0600,N/A for download,36.18,148292494.00
XYL,Xylem Inc.,123.1500,N/A for download,36.23,223381785.00
NDAQ,Nasdaq Inc.,88.4300,N/A for download,36.23,532525460.00
DT,Dynatrace Inc.,39.2800,N/A for download,36.49,240134352.00
PAYX,Paychex Inc.,100.8500,N/A for download,36.57,505056800.00
SWK,Stanley Black & Decker Inc.,76.0800,N/A for download,36.75,159456072.00
LEN,Lennar Corporation,101.1700,N/A for download,36.83,298815712.00
