Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
CAKE,The Cheesecake Factory Incorporated,62.8700,N/A for download,30.13,171448627.58
GPC,Genuine Parts Company,107.2300,N/A for download,30.28,238412822.94
FTI,TechnipFMC plc,75.5700,N/A for download,30.39,457955711.40
SU,Suncor Energy Inc.,93.0800,N/A for download,30.41,297625720.08
NTR,Nutrien Ltd.,103.2500,N/A for download,30.47,202478206.00
XYL,Xylem Inc.,118.1600,N/A for download,30.59,300512901.36
LEN,Lennar Corporation,90.3000,N/A for download,30.59,193624691.40
APTV,Aptiv PLC,60.2600,N/A for download,30.59,137995641.04
PDD,PDD Holdings Inc.,99.8800,N/A for download,30.68,665459888.72
CGNX,Cognex Corporation,55.5100,N/A for download,30.70,120906886.10
CCK,Crown Holdings Inc.,98.3100,N/A for download,30.74,134827151.19
MDLN,Medline Inc.,44.4700,N/A for download,30.94,131784399.15
BTSG,BrightSpring Health Services Inc.,47.9700,N/A for download,31.01,370901881.35
CLX,The Clorox Company,96.4400,N/A for download,31.02,454641691.36
PFGC,Performance Food Group Company,90.5600,N/A for download,31.10,113691559.68
BR,Broadridge Financial Solutions Inc.,153.9800,N/A for download,31.29,415768635.06
CDW,CDW Corporation,136.9100,N/A for download,31.65,168242401.14
SCI,Service Corporation International,81.0300,N/A for download,31.79,147527269.50
INSM,Insmed Incorporated,136.3300,N/A for download,31.95,182271165.05
CNR,Canadian National Railway Company,152.5700,N/A for download,31.97,211844055.28
KNX,Knight-Swift Transportation Holdings Inc.,64.9000,N/A for download,32.26,149178426.10
EW,Edwards Lifesciences Corporation,83.5000,N/A for download,32.32,554684237.50
BBY,Best Buy Co. Inc.,60.4900,N/A for download,32.32,193781045.78
PLNT,Planet Fitness Inc.,66.6700,N/A for download,32.64,129228394.43
EMR,Emerson Electric Co.,140.4400,N/A for download,32.64,384410542.28
ITGR,Integer Holdings Corporation,88.5100,N/A for download,32.95,193896467.23
A,Agilent Technologies Inc.,115.5500,N/A for download,32.99,258485118.90
BRO,Brown & Brown Inc.,60.1500,N/A for download,33.02,351348540.90
ABX,Barrick Mining Corporation,53.3700,N/A for download,33.02,236591077.95
LRN,Stride Inc.,97.1600,N/A for download,33.25,110332855.64
ALSN,Allison Transmission Holdings Inc.,134.3500,N/A for download,33.33,118418777.00
PCAR,PACCAR Inc,118.8000,N/A for download,33.39,335218435.20
DAR,Darling Ingredients Inc.,64.2300,N/A for download,33.42,285290262.54
CCI,Crown Castle Inc.,88.7800,N/A for download,33.50,274755633.76
CTRA,Coterra Energy Inc.,35.9100,N/A for download,33.57,210427752.15
EQH,Equitable Holdings Inc.,42.2000,N/A for download,33.59,173665955.40
GDDY,GoDaddy Inc.,86.7900,N/A for download,33.69,355662989.88
DVN,Devon Energy Corporation,51.3700,N/A for download,33.70,497862269.41
TXT,Textron Inc.,95.9600,N/A for download,33.74,355932816.84
EHC,Encompass Health Corporation,100.0000,N/A for download,33.88,215122300.00
NTAP,NetApp Inc.,110.7700,N/A for download,33.90,226106604.02
G,Genpact Limited,34.7500,N/A for download,33.91,167193578.50
BEN,Franklin Resources Inc.,29.9700,N/A for download,33.91,230125574.07
TOL,Toll Brothers Inc.,142.1400,N/A for download,34.06,138344293.44
MHK,Mohawk Industries Inc.,105.5600,N/A for download,34.18,164067474.48
GM,General Motors Company,76.8900,N/A for download,34.19,847374010.89
FLR,Fluor Corporation,53.3500,N/A for download,34.20,158833566.65
DG,Dollar General Corporation,115.8800,N/A for download,34.22,354749701.52
JD,JD.com Inc.,30.3200,N/A for download,34.30,248671117.28
P,Everpure Inc.,71.4500,N/A for download,34.33,171255575.55
BKR,Baker Hughes Company,69.6700,N/A for download,34.44,558220285.16
KDP,Keurig Dr Pepper Inc.,29.4000,N/A for download,34.47,309351063.00
RYAN,Ryan Specialty Holdings Inc.,34.7700,N/A for download,34.63,127422071.01
ROKU,Roku Inc.,116.5600,N/A for download,34.64,752079621.76
ALLY,Ally Financial Inc.,44.3900,N/A for download,34.81,123191660.68
IFF,International Flavors & Fragrances Inc.,70.2000,N/A for download,34.83,102595615.20
SEIC,SEI Investments Company,90.6800,N/A for download,34.87,115663065.44
CTSH,Cognizant Technology Solutions Corporation,52.9000,N/A for download,34.88,441315287.60
PAAS,Pan American Silver Corp.,71.0800,N/A for download,34.90,100646578.96
OLED,Universal Display Corporation,87.0900,N/A for download,35.09,264910884.54
SBUX,Starbucks Corporation,105.3300,N/A for download,35.42,999147740.40
ALLE,Allegion plc,137.4800,N/A for download,35.47,171675950.32
MG,Magna International Inc.,86.4500,N/A for download,35.57,144103418.55
BABA,Alibaba Group Holding Limited,131.8800,N/A for download,35.65,978106483.20
FPS,Forgent Power Solutions Inc.,37.6200,N/A for download,35.78,128677780.44
SE,Sea Limited,84.8800,N/A for download,35.81,245340377.44
JBTM,JBT Marel Corporation,118.1000,N/A for download,35.83,129817527.70
TW,Tradeweb Markets Inc.,113.2500,N/A for download,35.88,180087998.25
LEA,Lear Corporation,127.1300,N/A for download,35.88,106731737.24
DXCM,DexCom Inc.,59.5500,N/A for download,36.06,318195480.15
CVS,CVS Health Corporation,83.2900,N/A for download,36.11,693980442.42
DAL,Delta Air Lines Inc.,67.9900,N/A for download,36.14,427959519.52
TKR,The Timken Company,110.8900,N/A for download,36.25,129222113.02
XYZ,Block Inc.,70.5100,N/A for download,36.27,289526963.33
MC,Moelis & Company,65.1200,N/A for download,36.31,125026623.04
WLK,Westlake Corporation,115.2800,N/A for download,36.35,108434904.16
NVT,nVent Electric plc,142.9000,N/A for download,36.41,375667237.80
BWA,BorgWarner Inc.,56.9700,N/A for download,36.42,159768263.16
QRVO,Qorvo Inc.,94.2200,N/A for download,36.54,166746787.20
AS,Amer Sports Inc.,35.0700,N/A for download,36.96,113587276.11
PHM,PulteGroup Inc.,122.3600,N/A for download,37.06,236597376.12
CG,The Carlyle Group Inc.,50.0700,N/A for download,37.37,186394086.90
IBKR,Interactive Brokers Group Inc.,79.5000,N/A for download,37.38,436376931.00
BBIO,BridgeBio Pharma Inc.,71.1100,N/A for download,37.40,190223018.83
TPR,Tapestry Inc.,145.0400,N/A for download,37.47,210525705.04
EPAM,EPAM Systems Inc.,113.7800,N/A for download,37.49,158011861.22
LVS,Las Vegas Sands Corp.,54.6100,N/A for download,37.53,281776514.17
APG,APi Group Corporation,45.7200,N/A for download,37.58,322340767.56
CAVA,CAVA Group Inc.,93.4100,N/A for download,37.63,226529058.05
FTNT,Fortinet Inc.,84.3100,N/A for download,37.75,489885109.82
DHI,D.R. Horton Inc.,153.8600,N/A for download,37.76,248304345.38
GPN,Global Payments Inc.,71.9600,N/A for download,37.78,455042442.12
WFRD,Weatherford International plc,110.3500,N/A for download,37.79,127588214.90
CSTM,Constellium SE,31.2800,N/A for download,37.87,104539918.32
FLEX,Flex Ltd.,91.5500,N/A for download,38.02,452271281.80
TRU,TransUnion,71.0000,N/A for download,38.28,144498277.00
ALV,Autoliv Inc.,115.9300,N/A for download,38.44,101932495.87
DECK,Deckers Outdoor Corporation,102.2000,N/A for download,38.66,183163657.60
CYTK,Cytokinetics Incorporated,63.9700,N/A for download,38.82,174220375.90
FAST,Fastenal Company,44.9300,N/A for download,38.84,388671817.44
EEFT,Euronet Worldwide Inc.,72.3800,N/A for download,38.96,105719820.36
VKTX,Viking Therapeutics Inc.,31.1800,N/A for download,39.17,206080499.58
MTN,Vail Resorts Inc.,127.1800,N/A for download,39.26,111365039.82
HAS,Hasbro Inc.,95.8400,N/A for download,39.39,128921667.84
OXY,Occidental Petroleum Corporation,60.5800,N/A for download,39.50,786955524.16
DINO,HF Sinclair Corporation,67.2100,N/A for download,39.53,201590749.36
CVE,Cenovus Energy Inc.,39.7400,N/A for download,39.55,233427792.50
FIS,Fidelity National Information Services Inc.,46.5300,N/A for download,39.76,185248911.87
CSGP,CoStar Group Inc.,34.6100,N/A for download,40.10,273702005.97
ONON,On Holding AG,35.6100,N/A for download,40.19,124020122.13
AMCR,Amcor plc,38.0400,N/A for download,40.54,215406901.68
IRM,Iron Mountain Incorporated,125.9900,N/A for download,40.84,634930258.71
SW,Smurfit Westrock Plc,38.3900,N/A for download,40.95,476079265.53
SOLS,Solstice Advanced Materials Inc.,81.9500,N/A for download,41.01,126794597.05
ILMN,Illumina Inc.,126.7400,N/A for download,41.05,306098899.28
SPHR,Sphere Entertainment Co.,142.4500,N/A for download,41.08,107078098.05
COHU,Cohu Inc.,47.3500,N/A for download,41.24,118034364.10
WMS,Advanced Drainage Systems Inc.,149.2500,N/A for download,41.31,110273959.50
TECKB,Teck Resources Limited,79.3000,N/A for download,41.52,106897827.40
APO,Apollo Global Management Inc.,128.7200,N/A for download,41.53,542232613.84
KKR,KKR & Co. Inc.,104.3400,N/A for download,41.64,549943168.56
ST,Sensata Technologies Holding plc,41.6400,N/A for download,41.66,110061807.00
TPG,TPG Inc.,43.6200,N/A for download,41.82,144617617.14
DLTR,Dollar Tree Inc.,97.1100,N/A for download,41.93,312241181.85
OVV,Ovintiv Inc.,61.5500,N/A for download,42.03,233080802.15
AAP,Advance Auto Parts Inc.,59.5100,N/A for download,42.09,107710184.01
K,Kinross Gold Corporation,41.1500,N/A for download,42.12,174270949.55
MRNA,Moderna Inc.,45.9400,N/A for download,42.24,278674337.00
SN,SharkNinja Inc.,115.5300,N/A for download,42.24,121172254.14
AA,Alcoa Corporation,63.7900,N/A for download,42.27,178601410.86
CART,Maplebear Inc.,42.3500,N/A for download,42.54,111047629.00
AVT,Avnet Inc.,82.5100,N/A for download,42.82,192681229.97
ELF,e.l.f. Beauty Inc.,63.9700,N/A for download,42.85,139150614.56
IRTC,iRhythm Holdings Inc.,129.1600,N/A for download,42.97,140714007.80
PPG,PPG Industries Inc.,108.5000,N/A for download,42.98,263354997.50
CNQ,Canadian Natural Resources Limited,64.8400,N/A for download,43.18,428864987.36
FLUT,Flutter Entertainment plc,107.9300,N/A for download,43.20,333096803.90
PNR,Pentair plc,80.7100,N/A for download,43.20,301693092.19
OLLI,Ollie's Bargain Outlet Holdings Inc.,86.5100,N/A for download,43.35,119331115.41
HXL,Hexcel Corporation,93.8700,N/A for download,43.37,122276094.57
IT,Gartner Inc.,148.4900,N/A for download,43.39,226571536.13
Q,Qnity Electronics Inc.,140.6600,N/A for download,43.59,353191070.96
GDS,GDS Holdings Limited,42.2800,N/A for download,44.14,101211090.12
NE,Noble Corporation plc,51.0300,N/A for download,44.26,113474900.70
IR,Ingersoll Rand Inc.,79.8600,N/A for download,44.50,299652688.50
PVH,PVH Corp.,91.4400,N/A for download,45.39,101151202.32
ZBH,Zimmer Biomet Holdings Inc.,82.4300,N/A for download,45.65,343715624.84
ZM,Zoom Communications Inc.,97.1500,N/A for download,45.67,772264294.25
MTDR,Matador Resources Company,63.4400,N/A for download,45.69,137712126.24
BIDU,Baidu Inc.,126.5300,N/A for download,46.08,204423512.89
QGEN,Qiagen N.V.,34.5800,N/A for download,46.23,152543307.28
GVA,Granite Construction Incorporated,137.0700,N/A for download,46.52,183758646.33
TEX,Terex Corporation,62.2000,N/A for download,46.59,171727544.60
SWKS,Skyworks Solutions Inc.,70.1700,N/A for download,46.64,573463553.13
MCHP,Microchip Technology Incorporated,92.9100,N/A for download,46.74,868030628.64
SGI,Somnigroup International Inc.,75.8600,N/A for download,46.92,147417675.96
CROX,Crocs Inc.,101.9800,N/A for download,47.12,179657554.12
MANH,Manhattan Associates Inc.,137.8900,N/A for download,47.21,103132067.70
INDV,Indivior Pharmaceuticals Inc.,36.7800,N/A for download,47.41,252140618.94
GIBA,CGI Inc.,88.9100,N/A for download,47.46,102021024.24
DOCU,DocuSign Inc.,45.9900,N/A for download,47.49,109553744.79
LUV,Southwest Airlines Co.,37.9200,N/A for download,48.49,192610051.68
AU,AngloGold Ashanti plc,93.7300,N/A for download,48.56,251716788.96
TEVA,Teva Pharmaceutical Industries Limited,35.0700,N/A for download,48.61,564285453.27
CELH,Celsius Holdings Inc.,33.5700,N/A for download,48.72,188137290.96
BLDR,Builders FirstSource Inc.,79.0900,N/A for download,48.86,469163224.53
FROG,JFrog Ltd.,46.4400,N/A for download,48.98,101413024.92
FM,First Quantum Minerals Ltd.,33.2600,N/A for download,49.18,190717396.62
SWK,Stanley Black & Decker Inc.,78.1600,N/A for download,49.24,221785409.12
FUTU,Futu Holdings Limited,154.5100,N/A for download,49.47,101756577.76
SMG,The Scotts Miracle-Gro Company,62.7000,N/A for download,49.64,101150461.50
TSCO,Tractor Supply Company,35.1000,N/A for download,49.72,403555300.20
DT,Dynatrace Inc.,36.2100,N/A for download,49.77,231259401.57
LUN,Lundin Mining Corporation,34.8600,N/A for download,49.81,307143721.08
FND,Floor & Decor Holdings Inc.,48.4000,N/A for download,49.94,167664521.20
MAS,Masco Corporation,71.8200,N/A for download,50.05,207227560.68
VAL,Valaris Limited,101.9800,N/A for download,50.08,126290400.32
UAL,United Airlines Holdings Inc.,90.0000,N/A for download,50.43,402226020.00
SEI,Solaris Energy Infrastructure Inc.,73.8400,N/A for download,50.86,211283043.92
ESI,Element Solutions Inc,42.5900,N/A for download,51.17,188011681.04
GFS,GLOBALFOUNDRIES Inc.,64.6000,N/A for download,51.36,252573080.00
LSCC,Lattice Semiconductor Corporation,122.2800,N/A for download,51.51,344684575.92
BROS,Dutch Bros Inc.,57.5100,N/A for download,51.57,188635157.91
SHOP,Shopify Inc.,121.1300,N/A for download,51.59,822796117.10
DDOG,Datadog Inc.,132.1900,N/A for download,51.88,946544644.34
ACLS,Axcelis Technologies Inc.,139.1100,N/A for download,51.97,111103401.03
CHRD,Chord Energy Corporation,145.6000,N/A for download,52.00,124378945.60
ARES,Ares Management Corporation,117.4000,N/A for download,52.14,565675581.40
LBRT,Liberty Energy Inc.,33.7900,N/A for download,52.14,175536042.69
CBZ,CBIZ Inc.,30.5000,N/A for download,52.27,101158923.00
HGV,Hilton Grand Vacations Inc.,46.9700,N/A for download,52.27,108664813.18
VIK,Viking Holdings Ltd,81.9100,N/A for download,52.62,241083655.25
QTWO,Q2 Holdings Inc.,50.7500,N/A for download,53.09,162197101.50
SUNB,Sunbelt Rentals Holdings Inc.,76.5300,N/A for download,53.72,164036697.90
HLNE,Hamilton Lane Incorporated,91.9900,N/A for download,53.89,104182998.53
BDC,Belden Inc.,112.4800,N/A for download,53.95,137872247.52
NEM,Newmont Corporation,111.0900,N/A for download,54.36,921439337.70
BVN,Compañía de Minas Buenaventura S.A.A.,32.5900,N/A for download,54.46,105408150.89
DUOL,Duolingo Inc.,110.1000,N/A for download,54.48,164111977.20
IP,International Paper Company,30.4200,N/A for download,54.66,549400805.46
TWLO,Twilio Inc.,148.0600,N/A for download,55.30,847736037.50
CE,Celanese Corporation,67.7600,N/A for download,55.43,103463218.32
GEHC,GE HealthCare Technologies Inc.,60.8400,N/A for download,55.49,610288230.24
TECH,Bio-Techne Corporation,55.3200,N/A for download,55.55,194888045.04
ON,ON Semiconductor Corporation,100.8100,N/A for download,55.68,960987051.36
SATS,EchoStar Corporation,123.1400,N/A for download,55.72,349444598.62
SQM,Sociedad Química y Minera de Chile S.A.,92.1700,N/A for download,55.78,129998687.91
ALGM,Allegro MicroSystems Inc.,48.5000,N/A for download,55.79,168544629.50
RGEN,Repligen Corporation,118.3100,N/A for download,55.90,215639141.22
DOW,Dow Inc.,40.4900,N/A for download,55.95,645232444.00
APA,APA Corporation,40.7300,N/A for download,56.35,292072508.39
LULU,lululemon athletica inc.,137.7000,N/A for download,56.52,420835848.30
CF,CF Industries Holdings Inc.,124.2000,N/A for download,56.91,459358792.20
TFX,Teleflex Incorporated,123.9100,N/A for download,57.28,142357101.25
SFM,Sprouts Farmers Market Inc.,81.8500,N/A for download,57.50,473855105.35
CNC,Centene Corporation,53.6900,N/A for download,57.55,586786224.57
SM,SM Energy Company,31.0300,N/A for download,58.23,110200531.57
PCOR,Procore Technologies Inc.,56.5800,N/A for download,58.48,112125547.86
ENTG,Entegris Inc.,141.3800,N/A for download,58.52,918310320.92
AFRM,Affirm Holdings Inc.,64.2800,N/A for download,59.38,318739643.64
FCX,Freeport-McMoRan Inc.,57.7800,N/A for download,59.62,934959211.92
ETSY,Etsy Inc.,64.3400,N/A for download,59.92,379991074.90
AMKR,Amkor Technology Inc.,69.7500,N/A for download,60.26,733845399.75
WDAY,Workday Inc.,122.4000,N/A for download,60.78,685972317.60
LYB,LyondellBasell Industries N.V.,74.6000,N/A for download,61.68,652277483.60
ZS,Zscaler Inc.,130.6800,N/A for download,61.73,310610417.04
ENPH,Enphase Energy Inc.,32.9600,N/A for download,62.16,327503645.12
GSAT,Globalstar Inc.,82.3000,N/A for download,62.63,139579483.20
W,Wayfair Inc.,63.9300,N/A for download,63.18,859663513.50
NTNX,Nutanix Inc.,40.8900,N/A for download,63.68,126197784.75
GH,Guardant Health Inc.,87.0800,N/A for download,63.84,235849387.76
CHH,Choice Hotels International Inc.,99.0800,N/A for download,64.67,211346854.44
ICLR,ICON Public Limited Company,118.3300,N/A for download,64.69,184742594.17
KMX,CarMax Inc.,39.3100,N/A for download,65.03,105091157.45
OKTA,Okta Inc.,73.6500,N/A for download,65.24,200583565.50
FORM,FormFactor Inc.,135.9300,N/A for download,65.77,629372347.53
FLS,Flowserve Corporation,73.6400,N/A for download,66.35,647224390.12
HRI,Herc Holdings Inc.,126.9200,N/A for download,67.13,114227746.16
SITE,SiteOne Landscape Supply Inc.,126.0500,N/A for download,67.18,179212343.80
KTOS,Kratos Defense & Security Solutions Inc.,63.0500,N/A for download,68.36,198910329.15
KRMN,Karman Holdings Inc.,67.9800,N/A for download,68.55,115994070.06
EAT,Brinker International Inc.,152.2400,N/A for download,69.22,230037532.56
UPST,Upstart Holdings Inc.,31.5800,N/A for download,69.64,145174238.98
NXT,Nextpower Inc.,119.1300,N/A for download,69.73,165897221.49
GWRE,Guidewire Software Inc.,138.3900,N/A for download,70.58,149864606.85
PBF,PBF Energy Inc.,43.3600,N/A for download,70.70,314781242.40
SMTC,Semtech Corporation,105.0500,N/A for download,73.26,321995688.30
ORKA,Oruka Therapeutics Inc.,68.4100,N/A for download,73.79,272055761.22
RBRK,Rubrik Inc.,53.1800,N/A for download,74.92,128481763.22
MP,MP Materials Corp.,66.0400,N/A for download,75.27,369394607.92
HUT,Hut 8 Corp.,75.7800,N/A for download,75.85,335538456.66
FIGR,Figure Technology Solutions Inc.,35.1000,N/A for download,76.42,117381735.90
PI,Impinj Inc.,144.9200,N/A for download,76.82,232302557.32
AKAM,Akamai Technologies Inc.,102.9800,N/A for download,76.88,543569220.08
TEAM,Atlassian Corporation,68.5900,N/A for download,77.42,601150607.54
LMND,Lemonade Inc.,56.6400,N/A for download,78.32,111775018.56
CHKP,Check Point Software Technologies Ltd.,112.4700,N/A for download,79.05,954816876.75
ARX,ARC Resources Ltd.,32.2200,N/A for download,80.30,232188693.66
VSAT,Viasat Inc.,65.9100,N/A for download,81.33,171113366.97
GKOS,Glaukos Corporation,143.6700,N/A for download,82.86,384208491.81
SEDG,SolarEdge Technologies Inc.,42.8600,N/A for download,83.21,114073347.24
CRCL,Circle Internet Group Inc.,90.8800,N/A for download,83.27,838993436.16
TEM,Tempus AI Inc.,55.4800,N/A for download,84.38,344281306.44
ASTS,AST SpaceMobile Inc.,73.9000,N/A for download,84.60,996410105.80
APLD,Applied Digital Corporation,34.2500,N/A for download,88.32,739482023.00
DOCN,DigitalOcean Holdings Inc.,96.4300,N/A for download,89.30,237324548.01
SXT,Sensient Technologies Corporation,113.6400,N/A for download,91.44,139514123.40
BMI,Badger Meter Inc.,120.9100,N/A for download,92.40,100997936.65
FLY,Firefly Aerospace Inc.,34.6000,N/A for download,93.88,143388731.80
PL,Planet Labs PBC,36.9700,N/A for download,97.87,298924003.51
LBRDK,Liberty Broadband Corporation,38.4900,N/A for download,102.96,115100149.59
COCO,The Vita Coco Company Inc.,65.9900,N/A for download,109.15,305090841.11
RMBS,Rambus Inc.,115.1100,N/A for download,113.93,334641230.73
AEHR,Aehr Test Systems Inc.,90.5600,N/A for download,126.12,278278020.48
WOLF,Wolfspeed Inc.,29.5300,N/A for download,128.08,185032558.54
TVTX,Travere Therapeutics Inc.,42.1200,N/A for download,139.34,106125088.68
RVMD,Revolution Medicines Inc.,144.1200,N/A for download,153.85,333575251.92
AXTI,AXT Inc.,79.2200,N/A for download,184.65,984376946.08
MANE,Veradermics Incorporated,99.0000,N/A for download,186.68,175107537.00
BAND,Bandwidth Inc.,36.8100,N/A for download,188.10,153010409.22
XE,X-Energy Inc.,31.7300,N/A for download,197.30,324094471.82
MXL,MaxLinear Inc.,70.7500,N/A for download,280.96,624284203.75
