Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
MRVL,35917888.24,14000000.00,09:32:40,2026-02-23
ASTS,33835401.68,14000000.00,09:32:40,2026-02-23
DIS,32936110.26,14000000.00,09:32:40,2026-02-23
PYPL,32361314.58,14000000.00,09:32:40,2026-02-23
FCX,29534931.82,14000000.00,09:32:40,2026-02-23
OXY,25601716.25,14000000.00,09:32:40,2026-02-23
TEAM,24820509.00,14000000.00,09:32:40,2026-02-23
OKLO,24483905.60,14000000.00,09:32:40,2026-02-23
CRH,21263376.20,14000000.00,09:32:40,2026-02-23
KKR,20464515.00,14000000.00,09:32:40,2026-02-23
PAAS,20385980.08,14000000.00,09:32:40,2026-02-23
IONQ,19631997.14,14000000.00,09:32:40,2026-02-23
FTNT,19131343.20,14000000.00,09:32:40,2026-02-23
DDOG,19070150.51,14000000.00,09:32:40,2026-02-23
MRNA,18872613.60,14000000.00,09:32:40,2026-02-23
BSX,18854033.66,14000000.00,09:32:40,2026-02-23
SLB,18613052.37,14000000.00,09:32:40,2026-02-23
DELL,18418545.18,14000000.00,09:32:40,2026-02-23
WDAY,18280566.46,14000000.00,09:32:40,2026-02-23
APO,17848807.30,14000000.00,09:32:40,2026-02-23
GRAL,17444986.00,14000000.00,09:32:40,2026-02-23
ABNB,16984434.69,14000000.00,09:32:40,2026-02-23
ALAB,16345200.00,14000000.00,09:32:40,2026-02-23
CBRE,15949763.46,14000000.00,09:32:40,2026-02-23
SMCI,15554650.56,14000000.00,09:32:40,2026-02-23
CCL,15294976.51,14000000.00,09:32:40,2026-02-23
AU,15293751.72,14000000.00,09:32:40,2026-02-23
MO,14810895.25,14000000.00,09:32:40,2026-02-23
KTOS,14805213.45,14000000.00,09:32:40,2026-02-23
CRCL,14465527.01,14000000.00,09:32:40,2026-02-23
ZM,14209035.54,14000000.00,09:32:40,2026-02-23
SW,14035375.41,14000000.00,09:32:40,2026-02-23
