Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
ZTS,Zoetis Inc.,115.9900,N/A for download,30.08,579849784.64
SSB,SouthState Bank Corporation,89.2200,N/A for download,30.11,135423558.42
CNM,Core & Main Inc.,47.5000,N/A for download,30.12,145322070.00
MTH,Meritage Homes Corporation,60.2000,N/A for download,30.24,108478834.80
PPG,PPG Industries Inc.,98.3800,N/A for download,30.30,277815478.76
CRH,CRH plc,101.0200,N/A for download,30.38,586885387.92
HAL,Halliburton Company,36.9300,N/A for download,30.56,670456690.14
J,Jacobs Solutions Inc.,128.0200,N/A for download,30.64,165993292.40
EW,Edwards Lifesciences Corporation,82.4600,N/A for download,30.70,332639599.46
NDAQ,Nasdaq Inc.,86.2700,N/A for download,30.72,254533509.83
MCHP,Microchip Technology Incorporated,63.2900,N/A for download,30.74,647277019.69
BIDU,Baidu Inc.,119.0100,N/A for download,30.91,204304586.01
MDLZ,Mondelez International Inc.,56.4900,N/A for download,30.98,500752102.62
EXE,Expand Energy Corporation,107.9500,N/A for download,31.11,984433292.75
TWLO,Twilio Inc.,127.3500,N/A for download,31.22,158011677.45
OKE,ONEOK Inc.,88.3900,N/A for download,31.36,433204693.40
AKAM,Akamai Technologies Inc.,110.0000,N/A for download,31.40,454210020.00
HXL,Hexcel Corporation,78.6600,N/A for download,31.43,100960110.00
OTIS,Otis Worldwide Corporation,80.2300,N/A for download,31.52,690682419.40
EBAY,eBay Inc.,90.7400,N/A for download,31.54,431428502.18
CROX,Crocs Inc.,77.2900,N/A for download,31.58,111567187.52
TGT,Target Corporation,114.4700,N/A for download,31.66,749734200.11
IBKR,Interactive Brokers Group Inc.,67.6900,N/A for download,31.69,351279691.84
GEHC,GE HealthCare Technologies Inc.,70.3800,N/A for download,31.80,301127445.72
CPRT,Copart Inc.,32.5200,N/A for download,31.82,271635592.56
SWK,Stanley Black & Decker Inc.,69.0500,N/A for download,31.96,127280348.35
RRC,Range Resources Corporation,45.2800,N/A for download,32.02,241849490.72
EWBC,East West Bancorp Inc.,105.4200,N/A for download,32.05,143665532.64
MKC,McCormick & Company Incorporated,54.0500,N/A for download,32.06,229717094.25
FNF,Fidelity National Financial Inc.,44.8900,N/A for download,32.11,156630502.23
LEN,Lennar Corporation,93.7200,N/A for download,32.17,332079106.92
CARR,Carrier Global Corporation,58.9700,N/A for download,32.20,490958921.87
CLX,The Clorox Company,106.6200,N/A for download,32.22,263634795.96
PNFP,Pinnacle Financial Partners Inc.,82.9400,N/A for download,32.25,109003563.24
CVE,Cenovus Energy Inc.,34.2500,N/A for download,32.27,474496177.75
FITB,Fifth Third Bancorp,43.6600,N/A for download,32.30,449517116.62
BJ,BJ's Wholesale Club Holdings Inc.,96.7000,N/A for download,32.34,222816430.10
TPR,Tapestry Inc.,142.8000,N/A for download,32.39,242391433.20
VNOM,Viper Energy Inc.,47.3200,N/A for download,32.49,193215415.12
FND,Floor & Decor Holdings Inc.,53.2600,N/A for download,32.73,187814625.98
IFF,International Flavors & Fragrances Inc.,68.1300,N/A for download,32.74,161222150.70
CFG,Citizens Financial Group Inc.,57.0500,N/A for download,32.89,249951339.40
DG,Dollar General Corporation,123.4500,N/A for download,32.90,434740162.05
BN,Brookfield Corporation,53.7300,N/A for download,32.95,116065181.88
ETSY,Etsy Inc.,54.7600,N/A for download,33.02,100223942.40
MDLN,Medline Inc.,43.5900,N/A for download,33.08,214012384.53
TEVA,Teva Pharmaceutical Industries Limited,29.4400,N/A for download,33.11,257863517.44
CHRD,Chord Energy Corporation,130.4800,N/A for download,33.38,143243292.64
KR,The Kroger Co.,73.7600,N/A for download,33.59,487688507.04
EMR,Emerson Electric Co.,129.9000,N/A for download,33.63,408114234.30
TOU,Tourmaline Oil Corp.,69.1400,N/A for download,33.83,447850339.88
MHK,Mohawk Industries Inc.,98.2300,N/A for download,34.44,176535616.18
PAYX,Paychex Inc.,91.7100,N/A for download,34.52,425740013.82
SGI,Somnigroup International Inc.,74.1600,N/A for download,34.55,216606305.52
OC,Owens Corning,103.3400,N/A for download,34.74,192169513.90
BBY,Best Buy Co. Inc.,64.1900,N/A for download,34.96,233946488.86
IONS,Ionis Pharmaceuticals Inc.,71.3200,N/A for download,34.99,160321511.76
URBN,Urban Outfitters Inc.,65.1900,N/A for download,35.20,142250968.62
CART,Maplebear Inc.,36.4900,N/A for download,35.31,143064846.91
EXPD,Expeditors International of Washington Inc.,147.2400,N/A for download,35.52,193282684.20
RVTY,Revvity Inc.,85.7600,N/A for download,35.60,104255944.96
FBIN,Fortune Brands Innovations Inc.,40.9000,N/A for download,35.65,104223425.00
MTDR,Matador Resources Company,57.0700,N/A for download,35.72,143107590.60
RBA,RB Global Inc.,95.8400,N/A for download,35.79,103504324.80
SW,Smurfit Westrock Plc,36.9300,N/A for download,35.85,232095595.92
FISV,Fiserv Inc.,57.0200,N/A for download,35.85,358714986.76
GPN,Global Payments Inc.,68.1800,N/A for download,35.89,299293836.80
FLS,Flowserve Corporation,73.9000,N/A for download,36.38,111707240.00
LYV,Live Nation Entertainment Inc.,154.1900,N/A for download,36.73,276796491.35
ABNB,Airbnb Inc.,130.7900,N/A for download,36.91,463216196.41
INDV,Indivior Pharmaceuticals Inc.,30.5000,N/A for download,36.98,124910035.50
SITE,SiteOne Landscape Supply Inc.,130.2900,N/A for download,37.05,130365568.20
ONON,On Holding AG,38.8700,N/A for download,37.24,150593652.30
DT,Dynatrace Inc.,39.0600,N/A for download,37.36,524978899.20
CTSH,Cognizant Technology Solutions Corporation,61.5500,N/A for download,37.39,511234238.45
INSM,Insmed Incorporated,144.0000,N/A for download,37.49,281175984.00
CAKE,The Cheesecake Factory Incorporated,57.2100,N/A for download,37.68,110877842.85
AS,Amer Sports Inc.,32.6700,N/A for download,37.92,140826942.63
AER,AerCap Holdings N.V.,133.3700,N/A for download,38.32,234376702.54
CNX,CNX Resources Corporation,40.6100,N/A for download,38.41,133057406.09
CMG,Chipotle Mexican Grill Inc.,32.9400,N/A for download,38.52,531442958.04
DLTR,Dollar Tree Inc.,105.5600,N/A for download,38.78,373280638.64
BKR,Baker Hughes Company,60.7100,N/A for download,38.87,889532208.63
APA,APA Corporation,38.0600,N/A for download,38.92,433161621.20
LBRT,Liberty Energy Inc.,31.7300,N/A for download,39.00,102823063.99
WMS,Advanced Drainage Systems Inc.,134.6500,N/A for download,39.00,119660358.05
TERN,Terns Pharmaceuticals Inc.,49.0600,N/A for download,39.01,177468221.26
WYNN,Wynn Resorts Limited,103.1600,N/A for download,39.18,109601723.04
SJM,The J. M. Smucker Company,100.4100,N/A for download,39.34,202064180.31
WFRD,Weatherford International plc,87.5100,N/A for download,39.67,154875898.08
PAYC,Paycom Software Inc.,124.1500,N/A for download,39.79,115485447.35
ON,ON Semiconductor Corporation,59.2900,N/A for download,39.81,448278112.59
SYF,Synchrony Financial,65.5100,N/A for download,39.85,281027549.42
ARWR,Arrowhead Pharmaceuticals Inc.,56.9600,N/A for download,39.93,108810004.48
OLLI,Ollie's Bargain Outlet Holdings Inc.,101.7400,N/A for download,40.00,140950799.48
ALLY,Ally Financial Inc.,38.0900,N/A for download,40.33,170709933.68
FWONK,Formula One Group,83.4100,N/A for download,40.34,136139466.52
