Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
WAL,Western Alliance Bancorporation,78.3700,N/A for download,30.10,127076876.63
SWKS,Skyworks Solutions Inc.,61.7700,N/A for download,30.25,168426529.44
KNX,Knight-Swift Transportation Holdings Inc.,63.9800,N/A for download,30.33,172128848.92
NDAQ,Nasdaq Inc.,86.3700,N/A for download,30.37,332541169.41
CCI,Crown Castle Inc.,86.0100,N/A for download,30.62,251166832.05
SBUX,Starbucks Corporation,99.5200,N/A for download,30.83,570258656.32
MDLN,Medline Inc.,47.1600,N/A for download,30.89,165437138.52
PFGC,Performance Food Group Company,91.8500,N/A for download,30.91,242714635.35
BRO,Brown & Brown Inc.,67.8800,N/A for download,30.97,139275165.80
EPAM,EPAM Systems Inc.,129.1200,N/A for download,30.99,157091911.20
CLX,The Clorox Company,96.8500,N/A for download,31.14,235215624.15
ROIV,Roivant Sciences Ltd.,29.1500,N/A for download,31.15,246373118.20
PYPL,PayPal Holdings Inc.,51.2200,N/A for download,31.42,438937985.20
PTC,PTC Inc.,140.6000,N/A for download,31.45,125601635.60
FISV,Fiserv Inc.,63.2600,N/A for download,32.05,251733870.78
CVS,CVS Health Corporation,76.4300,N/A for download,32.07,393459499.96
WYNN,Wynn Resorts Limited,106.6400,N/A for download,32.13,103534963.12
GEHC,GE HealthCare Technologies Inc.,71.3800,N/A for download,32.28,253991025.72
AER,AerCap Holdings N.V.,138.2700,N/A for download,32.32,179189208.99
RVTY,Revvity Inc.,94.2800,N/A for download,32.47,103478805.32
RRC,Range Resources Corporation,43.2500,N/A for download,32.65,445677366.75
CNC,Centene Corporation,38.9300,N/A for download,32.65,175483164.87
SF,Stifel Financial Corp.,77.3700,N/A for download,32.67,192853699.92
MIRM,Mirum Pharmaceuticals Inc.,94.3100,N/A for download,32.72,106158448.23
DAR,Darling Ingredients Inc.,60.2500,N/A for download,32.94,176376392.25
ALSN,Allison Transmission Holdings Inc.,133.0400,N/A for download,32.95,130287269.36
CG,The Carlyle Group Inc.,51.2800,N/A for download,33.01,159993651.28
EOG,EOG Resources Inc.,133.0100,N/A for download,33.04,645932073.67
BBY,Best Buy Co. Inc.,63.5300,N/A for download,33.10,307390476.77
MOH,Molina Healthcare Inc.,153.0000,N/A for download,33.24,409302081.00
EXEL,Exelixis Inc.,46.8500,N/A for download,33.34,165548597.80
HTHT,H World Group Limited,52.0600,N/A for download,33.37,178702093.08
PHM,PulteGroup Inc.,127.5600,N/A for download,33.51,422264036.52
EQT,EQT Corporation,58.7200,N/A for download,33.55,623386552.32
BAH,Booz Allen Hamilton Holding Corporation,77.3700,N/A for download,34.07,252829531.26
HAL,Halliburton Company,39.1100,N/A for download,34.27,648202217.53
CNM,Core & Main Inc.,48.9600,N/A for download,34.36,146251696.32
NTAP,NetApp Inc.,111.0200,N/A for download,34.45,238670573.96
BX,Blackstone Inc.,129.7300,N/A for download,34.54,767120214.38
CRH,CRH plc,116.0900,N/A for download,34.59,391093627.47
FTI,TechnipFMC plc,72.2300,N/A for download,34.78,202395394.08
TOL,Toll Brothers Inc.,148.0200,N/A for download,34.81,110026374.42
VVV,Valvoline Inc.,32.7300,N/A for download,34.81,120357472.59
JCI,Johnson Controls International plc,139.8100,N/A for download,34.83,397670111.41
GM,General Motors Company,79.0000,N/A for download,35.04,250446906.00
TEVA,Teva Pharmaceutical Industries Limited,31.2200,N/A for download,35.10,109633119.82
LEN,Lennar Corporation,94.4500,N/A for download,35.12,205492409.30
APG,APi Group Corporation,48.5100,N/A for download,35.15,138057277.05
BNTX,BioNTech SE,108.6000,N/A for download,35.37,134142611.40
CTRA,Coterra Energy Inc.,32.9300,N/A for download,35.41,226251261.89
SCHW,The Charles Schwab Corporation,91.7100,N/A for download,35.43,990315211.14
GDDY,GoDaddy Inc.,88.4000,N/A for download,35.50,132825066.40
WHR,Whirlpool Corporation,55.6500,N/A for download,35.60,102592444.50
DXCM,DexCom Inc.,63.4100,N/A for download,35.61,169980650.60
DVN,Devon Energy Corporation,47.1200,N/A for download,35.66,601161106.56
APO,Apollo Global Management Inc.,129.0600,N/A for download,35.69,464690209.50
WFRD,Weatherford International plc,100.9900,N/A for download,35.88,236939708.30
BWA,BorgWarner Inc.,55.8100,N/A for download,35.88,109413607.46
PDD,PDD Holdings Inc.,100.0500,N/A for download,35.95,592891697.70
KKR,KKR & Co. Inc.,105.9200,N/A for download,36.01,509817215.68
ALLY,Ally Financial Inc.,45.7200,N/A for download,36.04,288523238.04
COP,ConocoPhillips,122.6000,N/A for download,36.23,804588859.00
ABNB,Airbnb Inc.,144.1800,N/A for download,36.25,588510896.22
MIDD,The Middleby Corporation,144.6700,N/A for download,36.31,107296675.55
ILMN,Illumina Inc.,130.5000,N/A for download,36.34,152087701.50
FAST,Fastenal Company,44.8100,N/A for download,36.54,254781459.77
GPN,Global Payments Inc.,71.6200,N/A for download,36.87,151698751.72
AR,Antero Resources Corporation,38.6000,N/A for download,36.90,227775396.20
ICLR,ICON Public Limited Company,115.4300,N/A for download,37.07,134413964.09
OC,Owens Corning,122.8800,N/A for download,37.45,108395151.36
WLK,Westlake Corporation,114.2800,N/A for download,37.56,124299156.16
DG,Dollar General Corporation,123.2000,N/A for download,37.64,294750579.20
MCHP,Microchip Technology Incorporated,82.4800,N/A for download,37.92,734163140.40
DLTR,Dollar Tree Inc.,101.9700,N/A for download,38.03,326001353.04
CSGP,CoStar Group Inc.,38.7700,N/A for download,38.24,174842813.65
EMR,Emerson Electric Co.,142.7700,N/A for download,38.35,322913473.98
NTR,Nutrien Ltd.,97.7800,N/A for download,38.40,147166429.06
OLLI,Ollie's Bargain Outlet Holdings Inc.,89.3400,N/A for download,38.76,105884606.58
CVE,Cenovus Energy Inc.,35.4900,N/A for download,38.76,193416099.24
HAS,Hasbro Inc.,90.6100,N/A for download,38.84,180096073.56
DINO,HF Sinclair Corporation,59.4600,N/A for download,38.98,102789393.90
FTNT,Fortinet Inc.,87.0900,N/A for download,39.07,386950798.26
TIGO,Millicom International Cellular S.A.,83.1500,N/A for download,39.14,155783021.70
LYV,Live Nation Entertainment Inc.,154.6300,N/A for download,39.27,231447091.40
MKC,McCormick & Company Incorporated,51.4700,N/A for download,39.30,172866936.12
TPG,TPG Inc.,45.5800,N/A for download,39.65,118431380.02
TPR,Tapestry Inc.,146.1700,N/A for download,39.84,300349677.49
FIS,Fidelity National Information Services Inc.,47.8400,N/A for download,39.90,231603151.52
BBIO,BridgeBio Pharma Inc.,74.4400,N/A for download,39.95,110507892.12
IP,International Paper Company,33.3300,N/A for download,40.00,268132884.03
CHKP,Check Point Software Technologies Ltd.,141.6800,N/A for download,40.17,121725222.08
TOST,Toast Inc.,29.4600,N/A for download,40.42,170300718.24
APTV,Aptiv PLC,60.8600,N/A for download,40.64,161794666.78
TMHC,Taylor Morrison Home Corporation,65.0000,N/A for download,41.09,123834360.00
WK,Workiva Inc.,56.0200,N/A for download,41.13,105864187.14
PPG,PPG Industries Inc.,111.6700,N/A for download,41.70,189387629.86
HXL,Hexcel Corporation,87.1500,N/A for download,41.77,181727271.60
ABX,Barrick Mining Corporation,55.6700,N/A for download,41.84,101124053.97
OXY,Occidental Petroleum Corporation,57.0500,N/A for download,41.89,541308484.85
SE,Sea Limited,86.2900,N/A for download,42.06,618003975.18
OVV,Ovintiv Inc.,55.7900,N/A for download,42.22,179547841.20
DAL,Delta Air Lines Inc.,68.4100,N/A for download,42.29,531106234.16
ATMU,Atmus Filtration Technologies Inc.,59.8200,N/A for download,42.35,133578957.30
XYZ,Block Inc.,72.5000,N/A for download,42.56,251710067.50
IR,Ingersoll Rand Inc.,83.7000,N/A for download,42.76,218340071.10
FLUT,Flutter Entertainment plc,106.6100,N/A for download,42.77,361423784.89
SOLS,Solstice Advanced Materials Inc.,81.3400,N/A for download,42.96,158480090.44
P,Everpure Inc.,69.3600,N/A for download,43.11,209863939.20
WMS,Advanced Drainage Systems Inc.,153.8200,N/A for download,43.33,124691568.06
SW,Smurfit Westrock Plc,39.6900,N/A for download,43.34,204789644.01
CNQ,Canadian Natural Resources Limited,61.1100,N/A for download,43.43,379378946.52
TRU,TransUnion,73.9900,N/A for download,43.52,204265450.83
ZM,Zoom Communications Inc.,91.9200,N/A for download,43.59,320878104.72
