Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
AFRM,52850425.60,14000000.00,09:32:24,2026-01-14
CRCL,51036919.95,14000000.00,09:32:24,2026-01-14
NEM,38479652.15,14000000.00,09:32:24,2026-01-14
BIDU,26032624.65,14000000.00,09:32:24,2026-01-14
SLB,24119635.68,14000000.00,09:32:24,2026-01-14
MRNA,23866766.08,14000000.00,09:32:24,2026-01-14
MRVL,21091462.00,14000000.00,09:32:24,2026-01-14
ARM,20530154.59,14000000.00,09:32:24,2026-01-14
NKE,19813418.10,14000000.00,09:32:24,2026-01-14
MP,19511093.54,14000000.00,09:32:24,2026-01-14
IONQ,19365566.94,14000000.00,09:32:24,2026-01-14
KTOS,19310523.00,14000000.00,09:32:24,2026-01-14
TTMI,17844084.36,14000000.00,09:32:24,2026-01-14
HIMS,14539121.66,14000000.00,09:32:24,2026-01-14
