Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
EXE,Expand Energy Corporation,101.6300,N/A for download,30.08,491157464.00
LKQ,LKQ Corporation,33.4000,N/A for download,30.18,121629440.00
RRC,Range Resources Corporation,33.4500,N/A for download,30.47,147557985.00
SW,Smurfit Westrock Plc,42.9800,N/A for download,30.59,194548970.00
DKNG,DraftKings Inc.,35.1700,N/A for download,30.71,337835986.00
HALO,Halozyme Therapeutics Inc.,72.4700,N/A for download,30.79,139135153.00
ONON,On Holding AG,49.1200,N/A for download,30.86,316809264.00
ATZ,Aritzia Inc.,131.4700,N/A for download,31.27,232639583.22
URBN,Urban Outfitters Inc.,81.5600,N/A for download,31.30,174554712.00
JEF,Jefferies Financial Group Inc.,62.2500,N/A for download,31.32,179890050.00
TPG,TPG Inc.,66.7900,N/A for download,31.37,149375835.00
CG,The Carlyle Group Inc.,65.4100,N/A for download,31.39,105610986.00
ALK,Alaska Air Group Inc.,49.9800,N/A for download,31.46,168862428.00
IP,International Paper Company,43.3400,N/A for download,31.68,191684152.00
SWK,Stanley Black & Decker Inc.,82.3500,N/A for download,31.79,152018100.00
TTD,The Trade Desk Inc.,37.2900,N/A for download,31.80,382028592.00
DLTR,Dollar Tree Inc.,132.3800,N/A for download,31.85,337185098.00
QRVO,Qorvo Inc.,81.7800,N/A for download,31.92,119603250.00
EL,The Estée Lauder Companies Inc.,113.7300,N/A for download,31.98,432685785.00
NBIX,Neurocrine Biosciences Inc.,135.7900,N/A for download,32.06,192713168.00
SBUX,Starbucks Corporation,88.8800,N/A for download,32.44,674874728.00
TWLO,Twilio Inc.,131.3900,N/A for download,32.46,351336860.00
DELL,Dell Technologies Inc.,120.6200,N/A for download,32.94,844508868.00
AIG,American International Group Inc.,75.4300,N/A for download,33.03,707578658.00
SITE,SiteOne Landscape Supply Inc.,140.4600,N/A for download,33.09,175785690.00
ROKU,Roku Inc.,111.1700,N/A for download,33.25,473817657.00
CNC,Centene Corporation,46.6100,N/A for download,33.26,283854900.00
BROS,Dutch Bros Inc.,62.3700,N/A for download,33.41,132810678.00
SN,SharkNinja Inc.,120.4900,N/A for download,33.54,194892575.00
