Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
OKLO,222466209.75,14000000.00,09:32:30,2026-01-09
LEN,36641719.00,14000000.00,09:32:30,2026-01-09
PDD,24611094.16,14000000.00,09:32:30,2026-01-09
DDOG,24388343.46,14000000.00,09:32:30,2026-01-09
SLB,24149988.34,14000000.00,09:32:30,2026-01-09
DHI,24096600.00,14000000.00,09:32:30,2026-01-09
KTOS,23550458.00,14000000.00,09:32:30,2026-01-09
NEM,22090078.89,14000000.00,09:32:30,2026-01-09
ROKU,19473281.80,14000000.00,09:32:30,2026-01-09
MRVL,18726169.53,14000000.00,09:32:30,2026-01-09
IONQ,16197231.75,14000000.00,09:32:30,2026-01-09
CRDO,16071175.60,14000000.00,09:32:30,2026-01-09
OXY,16019076.00,14000000.00,09:32:30,2026-01-09
BIDU,15042202.00,14000000.00,09:32:30,2026-01-09
