Timestamp,Symbol,Pivot_Name,Pivot_Price,Current_Price,Opening_Price,ATR,Outcome,Rejection_Reason,Notes
2026-02-10 09:33:09,FISV,Current_Pivot,60.51,60.93,59.64,,INVALIDATED,No qualifying volume day found,
2026-02-10 09:33:40,ON,Previous_R1,64.81,65.89,64.64,,INVALIDATED,No qualifying volume day found,
2026-02-10 09:34:46,TRU,Current_Pivot,72.87,73.00,72.31,,INVALIDATED,No qualifying volume day found,
2026-02-10 11:29:26,ON,Current_R1,67.90,67.92,64.64,1.300,REJECTED,Range multiplier too low (1.91%),
