Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
MRVL,5,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-26, 2026-02-27",35917888.24,24262008.19,14000000.00
OXY,5,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-26, 2026-02-27",29073933.96,22548380.69,14000000.00
SLB,5,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-26, 2026-02-27",22825930.80,17367241.16,14000000.00
IONQ,4,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-26",141300199.15,47724395.24,14000000.00
NBIS,4,"2026-02-24, 2026-02-25, 2026-02-26, 2026-02-27",74934323.10,41154566.84,14000000.00
ASTS,4,"2026-02-23, 2026-02-25, 2026-02-26, 2026-02-27",33835401.68,24701023.58,14000000.00
SMCI,4,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-27",32155055.46,20017020.22,14000000.00
FTNT,4,"2026-02-23, 2026-02-24, 2026-02-25, 2026-02-26",19131343.20,16022460.33,14000000.00
KTOS,3,"2026-02-23, 2026-02-24, 2026-02-27",70398968.22,37077889.72,14000000.00
TEAM,3,"2026-02-23, 2026-02-25, 2026-02-27",47268516.44,28998203.04,14000000.00
RKLB,3,"2026-02-24, 2026-02-25, 2026-02-26",36112610.34,27914029.80,14000000.00
CRH,3,"2026-02-23, 2026-02-26, 2026-02-27",26830256.74,21830788.55,14000000.00
ABNB,3,"2026-02-23, 2026-02-26, 2026-02-27",24491767.65,19604432.78,14000000.00
DDOG,3,"2026-02-23, 2026-02-26, 2026-02-27",21440989.72,19260858.95,14000000.00
CCL,3,"2026-02-23, 2026-02-26, 2026-02-27",19526015.60,17526154.47,14000000.00
RBLX,3,"2026-02-24, 2026-02-25, 2026-02-26",15882105.22,15323826.91,14000000.00
CRCL,2,"2026-02-23, 2026-02-25",109698793.26,62082160.14,14000000.00
APO,2,"2026-02-23, 2026-02-27",69795777.34,43822292.32,14000000.00
NKE,2,"2026-02-26, 2026-02-27",64982184.96,45010533.55,14000000.00
NEM,2,"2026-02-26, 2026-02-27",57150389.02,41611203.51,14000000.00
ZM,2,"2026-02-23, 2026-02-26",49671778.95,31940407.25,14000000.00
AG,2,"2026-02-25, 2026-02-27",45490010.19,33650220.05,14000000.00
CELH,2,"2026-02-26, 2026-02-27",42355809.11,38350780.80,14000000.00
DAL,2,"2026-02-26, 2026-02-27",37053559.00,26923956.86,14000000.00
UAL,2,"2026-02-26, 2026-02-27",36862616.88,30715012.67,14000000.00
BIDU,2,"2026-02-26, 2026-02-27",35477157.20,26747641.60,14000000.00
CRDO,2,"2026-02-26, 2026-02-27",34152581.09,26192391.62,14000000.00
FIG,2,"2026-02-26, 2026-02-27",28643015.70,22580029.55,14000000.00
DELL,2,"2026-02-23, 2026-02-25",28088936.00,23253740.59,14000000.00
OKLO,2,"2026-02-23, 2026-02-27",26839259.36,25661582.48,14000000.00
GILD,2,"2026-02-24, 2026-02-26",24484109.94,19424601.00,14000000.00
WDAY,2,"2026-02-23, 2026-02-24",24313796.32,21297181.39,14000000.00
PAAS,2,"2026-02-23, 2026-02-27",20385980.08,17685862.79,14000000.00
BSX,2,"2026-02-23, 2026-02-24",19913179.50,19383606.58,14000000.00
SE,2,"2026-02-25, 2026-02-27",18737832.00,17549462.23,14000000.00
MO,2,"2026-02-23, 2026-02-27",18042644.62,16426769.94,14000000.00
ALAB,2,"2026-02-23, 2026-02-25",16345200.00,16110633.75,14000000.00
RDDT,2,"2026-02-25, 2026-02-27",15977087.13,15536282.79,14000000.00
AU,2,"2026-02-23, 2026-02-27",15293751.72,14681314.26,14000000.00
APLD,2,"2026-02-25, 2026-02-26",14416756.61,14345695.55,14000000.00
DUOL,1,2026-02-27,153357339.80,153357339.80,14000000.00
AAOI,1,2026-02-27,105093606.74,105093606.74,14000000.00
ACLX,1,2026-02-26,60218123.16,60218123.16,14000000.00
FLUT,1,2026-02-27,58295890.68,58295890.68,14000000.00
TCOM,1,2026-02-26,35674447.55,35674447.55,14000000.00
PSTG,1,2026-02-26,33556513.04,33556513.04,14000000.00
PCOR,1,2026-02-25,33237561.69,33237561.69,14000000.00
DIS,1,2026-02-23,32936110.26,32936110.26,14000000.00
SBUX,1,2026-02-27,32889077.20,32889077.20,14000000.00
PYPL,1,2026-02-23,32361314.58,32361314.58,14000000.00
NTNX,1,2026-02-26,30296218.16,30296218.16,14000000.00
FCX,1,2026-02-23,29534931.82,29534931.82,14000000.00
APH,1,2026-02-26,29288833.50,29288833.50,14000000.00
ARM,1,2026-02-26,28780995.78,28780995.78,14000000.00
ANET,1,2026-02-27,27292085.44,27292085.44,14000000.00
TGT,1,2026-02-27,26173512.00,26173512.00,14000000.00
DOCU,1,2026-02-24,25368126.00,25368126.00,14000000.00
TRI,1,2026-02-25,25069709.49,25069709.49,14000000.00
KKR,1,2026-02-23,20464515.00,20464515.00,14000000.00
ROKU,1,2026-02-27,19987899.21,19987899.21,14000000.00
PAYX,1,2026-02-27,19953798.95,19953798.95,14000000.00
GM,1,2026-02-27,19614241.64,19614241.64,14000000.00
ILMN,1,2026-02-27,18973602.66,18973602.66,14000000.00
MRNA,1,2026-02-23,18872613.60,18872613.60,14000000.00
