Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
BIDU,2,"2026-02-16, 2026-02-17",60778589.72,37895777.38,14000000.00
BSX,2,"2026-02-19, 2026-02-20",51540311.90,39544408.15,14000000.00
TEM,2,"2026-02-19, 2026-02-20",49489110.00,36253484.52,14000000.00
ETSY,2,"2026-02-19, 2026-02-20",43410357.68,34379372.71,14000000.00
ARM,2,"2026-02-16, 2026-02-18",43176921.80,40123450.30,14000000.00
DIS,2,"2026-02-19, 2026-02-20",41285061.20,33841561.73,14000000.00
ABT,2,"2026-02-19, 2026-02-20",38546688.96,27653092.48,14000000.00
TWLO,2,"2026-02-16, 2026-02-17",29336032.50,23532365.25,14000000.00
FCX,2,"2026-02-18, 2026-02-20",25689980.43,24439931.59,14000000.00
RKLB,2,"2026-02-17, 2026-02-18",25077981.00,21889721.12,14000000.00
KTOS,2,"2026-02-19, 2026-02-20",24843478.64,19432805.86,14000000.00
BX,2,"2026-02-17, 2026-02-19",24821497.73,21448309.86,14000000.00
ICE,2,"2026-02-17, 2026-02-20",21344260.55,19528693.84,14000000.00
PYPL,2,"2026-02-18, 2026-02-19",20898727.05,20711303.89,14000000.00
GM,2,"2026-02-18, 2026-02-20",20570996.83,19886801.39,14000000.00
CRCL,2,"2026-02-16, 2026-02-20",19854054.96,18701569.61,14000000.00
BK,2,"2026-02-18, 2026-02-20",19590370.52,18027794.90,14000000.00
RBLX,2,"2026-02-17, 2026-02-20",19363497.24,19358795.96,14000000.00
CVS,2,"2026-02-17, 2026-02-20",18461984.64,17441324.88,14000000.00
RDDT,2,"2026-02-19, 2026-02-20",17979244.00,17803663.22,14000000.00
FTNT,2,"2026-02-18, 2026-02-20",16453800.31,15820399.12,14000000.00
EMR,2,"2026-02-18, 2026-02-20",16390303.50,15594871.88,14000000.00
SW,2,"2026-02-16, 2026-02-17",15152922.85,14770349.77,14000000.00
OKLO,2,"2026-02-17, 2026-02-19",15013538.62,14752660.61,14000000.00
KKR,2,"2026-02-16, 2026-02-19",14722166.58,14382788.33,14000000.00
ROKU,1,2026-02-16,66972096.00,66972096.00,14000000.00
EBAY,1,2026-02-19,61709043.37,61709043.37,14000000.00
APH,1,2026-02-20,43490333.84,43490333.84,14000000.00
AKAM,1,2026-02-20,43049316.20,43049316.20,14000000.00
BROS,1,2026-02-16,39876019.77,39876019.77,14000000.00
CPRT,1,2026-02-20,39654813.10,39654813.10,14000000.00
C,1,2026-02-20,39572561.58,39572561.58,14000000.00
ANET,1,2026-02-20,39161246.16,39161246.16,14000000.00
AMKR,1,2026-02-16,36900611.96,36900611.96,14000000.00
GRAL,1,2026-02-20,32767306.78,32767306.78,14000000.00
AG,1,2026-02-20,31061179.08,31061179.08,14000000.00
W,1,2026-02-19,30860843.91,30860843.91,14000000.00
CART,1,2026-02-16,30248988.00,30248988.00,14000000.00
SYF,1,2026-02-17,27381221.60,27381221.60,14000000.00
LMND,1,2026-02-19,26267336.00,26267336.00,14000000.00
EQT,1,2026-02-19,25704028.73,25704028.73,14000000.00
ARES,1,2026-02-20,24888971.58,24888971.58,14000000.00
AA,1,2026-02-16,23968620.62,23968620.62,14000000.00
OMC,1,2026-02-19,22486033.36,22486033.36,14000000.00
GILD,1,2026-02-19,22435264.14,22435264.14,14000000.00
UAL,1,2026-02-18,21849760.68,21849760.68,14000000.00
MO,1,2026-02-17,21025314.40,21025314.40,14000000.00
ACLS,1,2026-02-18,20159001.28,20159001.28,14000000.00
CARR,1,2026-02-19,19964916.50,19964916.50,14000000.00
SBUX,1,2026-02-17,19776607.40,19776607.40,14000000.00
APO,1,2026-02-19,19621315.00,19621315.00,14000000.00
ROL,1,2026-02-16,19406173.05,19406173.05,14000000.00
EOG,1,2026-02-20,19405447.20,19405447.20,14000000.00
EXE,1,2026-02-16,19180101.92,19180101.92,14000000.00
SEDG,1,2026-02-18,18946758.60,18946758.60,14000000.00
RAPT,1,2026-02-16,18663833.44,18663833.44,14000000.00
FLUT,1,2026-02-16,18509127.00,18509127.00,14000000.00
LYB,1,2026-02-20,18334710.22,18334710.22,14000000.00
BKR,1,2026-02-20,17682333.76,17682333.76,14000000.00
IREN,1,2026-02-18,17508859.65,17508859.65,14000000.00
USFD,1,2026-02-16,17415223.68,17415223.68,14000000.00
ON,1,2026-02-17,17302217.62,17302217.62,14000000.00
LUV,1,2026-02-17,16157259.88,16157259.88,14000000.00
VICR,1,2026-02-20,16068901.25,16068901.25,14000000.00
STZ,1,2026-02-17,15814400.72,15814400.72,14000000.00
IR,1,2026-02-16,15770920.62,15770920.62,14000000.00
DLTR,1,2026-02-16,15664898.85,15664898.85,14000000.00
DECK,1,2026-02-20,15243700.32,15243700.32,14000000.00
SE,1,2026-02-17,15029862.00,15029862.00,14000000.00
XYL,1,2026-02-17,14825701.52,14825701.52,14000000.00
FITB,1,2026-02-17,14800163.91,14800163.91,14000000.00
MP,1,2026-02-17,14444268.30,14444268.30,14000000.00
GH,1,2026-02-20,14068603.20,14068603.20,14000000.00
PHM,1,2026-02-17,14035852.35,14035852.35,14000000.00
