Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
CRDO,5,"2026-02-16, 2026-02-17, 2026-02-18, 2026-02-19, 2026-02-20",19650738.18,17233765.73,14000000.00
SMCI,4,"2026-02-16, 2026-02-17, 2026-02-18, 2026-02-19",98824281.25,37960641.44,14000000.00
NEM,3,"2026-02-17, 2026-02-19, 2026-02-20",78886263.65,52716878.69,14000000.00
ABNB,3,"2026-02-18, 2026-02-19, 2026-02-20",43701277.29,26546729.46,14000000.00
DELL,3,"2026-02-18, 2026-02-19, 2026-02-20",36672275.04,22722105.15,14000000.00
APLD,3,"2026-02-16, 2026-02-17, 2026-02-18",35763493.68,22643196.88,14000000.00
DDOG,3,"2026-02-16, 2026-02-18, 2026-02-20",34987054.91,22521369.39,14000000.00
SLB,3,"2026-02-17, 2026-02-19, 2026-02-20",33676068.64,28922229.63,14000000.00
NKE,3,"2026-02-16, 2026-02-18, 2026-02-20",31298436.66,26767799.91,14000000.00
MRNA,3,"2026-02-16, 2026-02-18, 2026-02-20",30446969.21,23277181.85,14000000.00
CCL,3,"2026-02-16, 2026-02-17, 2026-02-18",24288457.22,18845051.50,14000000.00
TGT,3,"2026-02-16, 2026-02-17, 2026-02-20",22681990.10,16976042.34,14000000.00
IONQ,3,"2026-02-16, 2026-02-17, 2026-02-19",22064068.01,18043204.47,14000000.00
CRH,3,"2026-02-16, 2026-02-18, 2026-02-20",21556884.79,18962783.50,14000000.00
TEAM,3,"2026-02-16, 2026-02-17, 2026-02-20",21213726.72,18072507.76,14000000.00
ASTS,3,"2026-02-18, 2026-02-19, 2026-02-20",20556511.36,19497409.48,14000000.00
MRVL,3,"2026-02-17, 2026-02-18, 2026-02-20",19532616.00,17384019.42,14000000.00
WDAY,3,"2026-02-16, 2026-02-17, 2026-02-18",19440795.85,16542378.63,14000000.00
OXY,2,"2026-02-18, 2026-02-19",114143845.72,66648668.09,14000000.00
