Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
DOW,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",28992320.00,28992320.00,14000000.00
IOT,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",28011287.34,28011287.34,14000000.00
OXY,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",24883003.20,24883003.20,14000000.00
MRNA,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",22452597.24,22452597.24,14000000.00
ALAB,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",19327942.84,19327942.84,14000000.00
NBIS,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",18889748.80,18889748.80,14000000.00
PYPL,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",18373244.40,18373244.40,14000000.00
CF,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",18129104.00,18129104.00,14000000.00
KTOS,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",16722773.88,16722773.88,14000000.00
GM,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",16049293.90,16049293.90,14000000.00
WDAY,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",15639282.87,15639282.87,14000000.00
PAAS,5,"2026-04-27, 2026-04-28, 2026-04-29, 2026-04-30, 2026-05-01",15470412.20,15470412.20,14000000.00
