Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
DOW,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",28992320.00,28992320.00,14000000.00
IOT,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",28011287.34,28011287.34,14000000.00
OXY,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",24883003.20,24883003.20,14000000.00
MRNA,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",22452597.24,22452597.24,14000000.00
ALAB,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",19327942.84,19327942.84,14000000.00
NBIS,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",18889748.80,18889748.80,14000000.00
PYPL,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",18373244.40,18373244.40,14000000.00
CF,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",18129104.00,18129104.00,14000000.00
KTOS,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",16722773.88,16722773.88,14000000.00
GM,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",16049293.90,16049293.90,14000000.00
WDAY,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",15639282.87,15639282.87,14000000.00
PAAS,5,"2026-03-09, 2026-03-10, 2026-03-11, 2026-03-12, 2026-03-13",15470412.20,15470412.20,14000000.00
