Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
MP,5,"2026-02-02, 2026-02-03, 2026-02-04, 2026-02-05, 2026-02-06",51621712.74,26898319.51,14000000.00
DDOG,5,"2026-02-02, 2026-02-03, 2026-02-04, 2026-02-05, 2026-02-06",38772798.30,23688314.60,14000000.00
ALAB,4,"2026-02-02, 2026-02-03, 2026-02-05, 2026-02-06",42102506.82,27644318.10,14000000.00
PDD,4,"2026-02-02, 2026-02-03, 2026-02-04, 2026-02-05",32282752.32,23881915.85,14000000.00
CRH,4,"2026-02-02, 2026-02-03, 2026-02-04, 2026-02-05",24747410.31,18969206.54,14000000.00
BIDU,4,"2026-02-02, 2026-02-04, 2026-02-05, 2026-02-06",18584704.30,16539976.69,14000000.00
TEAM,3,"2026-02-02, 2026-02-04, 2026-02-06",43955551.74,27677374.40,14000000.00
OKLO,3,"2026-02-02, 2026-02-03, 2026-02-04",35177757.00,22533545.51,14000000.00
DVN,3,"2026-02-02, 2026-02-03, 2026-02-04",33595112.67,22343192.05,14000000.00
IONQ,3,"2026-02-02, 2026-02-03, 2026-02-04",31676488.79,24128792.77,14000000.00
CRCL,3,"2026-02-03, 2026-02-05, 2026-02-06",30530463.54,22023190.55,14000000.00
OXY,3,"2026-02-02, 2026-02-04, 2026-02-05",25977707.82,20493464.23,14000000.00
ARM,3,"2026-02-02, 2026-02-03, 2026-02-04",21005834.22,17892213.74,14000000.00
CCL,3,"2026-02-02, 2026-02-03, 2026-02-05",17953696.19,16445404.62,14000000.00
RMBS,2,"2026-02-02, 2026-02-03",50604699.15,35241065.42,14000000.00
PAAS,2,"2026-02-02, 2026-02-06",31003983.50,23479724.50,14000000.00
CRDO,2,"2026-02-02, 2026-02-06",28147854.80,24193095.94,14000000.00
TTMI,2,"2026-02-03, 2026-02-05",26475996.35,20404941.16,14000000.00
SATS,2,"2026-02-02, 2026-02-03",24912527.22,19507463.01,14000000.00
DAL,2,"2026-02-02, 2026-02-06",21927737.60,20716878.18,14000000.00
NBIS,2,"2026-02-03, 2026-02-04",21477600.00,19002606.25,14000000.00
GILD,2,"2026-02-03, 2026-02-04",21408203.82,19483903.88,14000000.00
MO,2,"2026-02-02, 2026-02-04",21230029.20,19614194.79,14000000.00
COP,2,"2026-02-02, 2026-02-04",20841018.10,20503599.26,14000000.00
SLB,2,"2026-02-02, 2026-02-03",20489185.71,19758113.05,14000000.00
CVS,2,"2026-02-02, 2026-02-05",20072961.48,17555606.39,14000000.00
KTOS,2,"2026-02-02, 2026-02-03",19859510.34,17920545.67,14000000.00
APLD,2,"2026-02-03, 2026-02-04",19301282.00,19204675.77,14000000.00
RBLX,2,"2026-02-03, 2026-02-05",18819980.07,17849556.44,14000000.00
TGT,2,"2026-02-04, 2026-02-06",18176295.72,16241904.69,14000000.00
SMCI,2,"2026-02-02, 2026-02-03",17813940.00,16268000.16,14000000.00
VST,2,"2026-02-03, 2026-02-04",15911845.30,14958685.25,14000000.00
ENPH,1,2026-02-04,148368432.00,148368432.00,14000000.00
TEM,1,2026-02-05,40462859.48,40462859.48,14000000.00
MCHP,1,2026-02-06,36008487.20,36008487.20,14000000.00
HUT,1,2026-02-05,35055087.58,35055087.58,14000000.00
DVA,1,2026-02-03,33537792.00,33537792.00,14000000.00
DOCU,1,2026-02-03,29122890.40,29122890.40,14000000.00
TTD,1,2026-02-03,29021624.62,29021624.62,14000000.00
EL,1,2026-02-05,28093446.96,28093446.96,14000000.00
MRVL,1,2026-02-02,27437842.41,27437842.41,14000000.00
NKE,1,2026-02-06,26946730.58,26946730.58,14000000.00
ANET,1,2026-02-02,26484215.92,26484215.92,14000000.00
DOCS,1,2026-02-06,25728216.53,25728216.53,14000000.00
TRI,1,2026-02-05,24181809.00,24181809.00,14000000.00
CTSH,1,2026-02-04,24172286.19,24172286.19,14000000.00
AFRM,1,2026-02-06,23416666.80,23416666.80,14000000.00
FAST,1,2026-02-05,22158818.82,22158818.82,14000000.00
NDAQ,1,2026-02-06,21931658.28,21931658.28,14000000.00
TCOM,1,2026-02-04,20864949.99,20864949.99,14000000.00
MGM,1,2026-02-04,20793221.71,20793221.71,14000000.00
PI,1,2026-02-06,20362002.64,20362002.64,14000000.00
EBAY,1,2026-02-04,19420378.00,19420378.00,14000000.00
AUGO,1,2026-02-03,19066488.25,19066488.25,14000000.00
TSEM,1,2026-02-05,18837489.93,18837489.93,14000000.00
PSX,1,2026-02-04,18592950.00,18592950.00,14000000.00
GIS,1,2026-02-02,18450729.00,18450729.00,14000000.00
FTV,1,2026-02-04,18132640.50,18132640.50,14000000.00
UAL,1,2026-02-02,17961266.60,17961266.60,14000000.00
ILMN,1,2026-02-06,17820529.56,17820529.56,14000000.00
IBKR,1,2026-02-06,17283721.91,17283721.91,14000000.00
LUV,1,2026-02-03,16680450.00,16680450.00,14000000.00
DUOL,1,2026-02-03,16403167.28,16403167.28,14000000.00
AU,1,2026-02-02,15950811.06,15950811.06,14000000.00
MRNA,1,2026-02-02,15624142.05,15624142.05,14000000.00
GM,1,2026-02-03,15579471.60,15579471.60,14000000.00
DELL,1,2026-02-03,15334643.80,15334643.80,14000000.00
TRU,1,2026-02-05,14829532.63,14829532.63,14000000.00
DOW,1,2026-02-05,14785394.80,14785394.80,14000000.00
SE,1,2026-02-06,14481694.80,14481694.80,14000000.00
RBRK,1,2026-02-05,14087075.16,14087075.16,14000000.00
FITB,1,2026-02-04,14067602.73,14067602.73,14000000.00
